Time,n_MM,psi_o_MM,psi_y_MM,n_y_MM,n_m_MM,n_o_MM,mu_o_MM,mu_m_MM,mu_y_MM,s_o_MM,s_m_MM,s_y_MM,h_m_MM,h_y_MM,a_MM,a_o_MM,a_m_MM,a_y_MM,z_o_MM,z_m_MM,z_y_MM,c_o_MM,c_m_MM,c_y_MM,y_MM,k_MM,w_MM,inv_MM,b_MM,gov_MM,e_MM,t_MM,f_MM,nx_MM,tilde_R_MM,g_MM,q_MM,tilde_s_m_MM,tilde_s_y_MM,tilde_s_o_MM,Omega_m_MM,Omega_y_MM,eta_o_MM,eta_m_MM,eta_y_MM,walras_MM,gamma_MM,phi_MM,R_star,fy_target_MM,b_y,alpha,delta,beta,sigma,g_y,repl,x,omega,nu,Lambda_MM,w_indiv_MM,t_indiv_MM,e_indiv_MM,c_y_indiv_MM,c_m_indiv_MM,c_o_indiv_MM,a_y_indiv_MM,a_m_indiv_MM,a_o_indiv_MM
106,-0.00304313474252399,0.74062872427301,0.101499641744443,-0.00502721606595014,-0.0046932580744915,-0.000532680647918338,0.0215617157950497,0.0122700490127777,0.010988531177553,7.15123140962217,10.5131235049847,1.0935593541127,3.31262717579205,0.343407531421854,4.07701185727681,2.60093734195911,1.5508895318348,-0.0748150165171096,9.76342413126149,15.3375609996186,1.37728623424888,0.210516254818586,0.18819273888835,0.0151343652314306,1.00389129365475,3.49015102531291,0.672607166748683,0.342160175020725,1.05408585833749,0.250972823413688,0.199260875138384,0.445335214867369,-0.467225026373595,-0.00273406366935287,0.994813367780775,1.00194164958376,0.992885532000841,0.542850334671262,0.055099114489984,0.402050550838754,1.05219940820382,1.04936946475646,0.637951870901835,0.380398582602717,-0.0183504535045519,-0.000351000048674787,0.965571111871347,0.0197963100292335,0.99603586829095,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23902874105438,0.820364631693658,0.495611496421752,0.274675289639759,0.346675182584745,0.523606433020448,-1.35782611407865,2.85693759915242,6.46917989922677
107,-0.00309571991226521,0.743624790577404,0.101472953577251,-0.00496177435702794,-0.00470007165111141,-0.00067378360642445,0.0216006384425566,0.0122942372685829,0.0110107964566067,7.14296024149504,10.4493069746888,1.0863707056467,3.29006298836781,0.340928833577703,4.06102738911726,2.61014475984599,1.52538255423313,-0.0744999249618672,9.76444007884031,15.2261849575167,1.36786086193634,0.210918203585167,0.187194422750445,0.0150612476737959,1.00146359625619,3.47611951392787,0.670980609491648,0.340905388252562,1.051536776069,0.250365899064048,0.19958312608589,0.445218626968221,-0.466628900879611,-0.00263051436502836,0.994969792105754,1.00188880148817,0.993094034615277,0.541976707287211,0.0549959772585063,0.403027315454283,1.05217380972709,1.04934214115652,0.642730154173448,0.375614938786824,-0.0183450929602722,-0.000351050704797851,0.965571111871347,0.0197963100292335,0.996136641520554,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23802480894456,0.821471884274697,0.495209923577822,0.273860897188918,0.345392007135179,0.523334760442788,-1.35464316983919,2.81447990978842,6.47634703594196
108,-0.00314664343048601,0.74653537031565,0.101452046291591,-0.00491047780369713,-0.00470540928454988,-0.00080978301438106,0.021638829703829,0.0123179756007248,0.011032648643742,7.13461984394455,10.387309624939,1.07944495254039,3.26818344763329,0.338543097243904,4.04548113662684,2.6191165146701,1.50055617147771,-0.0741915495209747,9.76515105227679,15.1179737643874,1.35878753392118,0.211306492499886,0.186222906618158,0.0149910336578561,0.999101918936536,3.46245646116867,0.669398285687479,0.339687372035814,1.04905701488336,0.249775479734134,0.199891798837745,0.445099899406702,-0.466032339425199,-0.00253067045138834,0.995123554476059,1.00183762335236,0.993298246422574,0.541129225780076,0.0548986672635731,0.40397210695635,1.05214873618256,1.0493153859996,0.647417804277591,0.370921559328302,-0.0183393636058933,-0.000350695157923496,0.965571111871347,0.0197963100292335,0.996237713885682,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23703960864892,0.822539013236734,0.494815843459568,0.273067351268891,0.344137588114381,0.523071986558512,-1.35142715149668,2.77300892280315,6.48340929873433
109,-0.00319594855807486,0.749362176736696,0.101435667543244,-0.0048702736627374,-0.00470959074168187,-0.000940856624626951,0.0216762936291789,0.0123412662693426,0.0110540897619823,7.12622847554531,10.3270892130668,1.07276289756872,3.24696972972102,0.33624374531832,4.03036280082217,2.62786329829773,1.47639030306304,-0.0738908005386052,9.76558608248444,15.0128470043841,1.35003930465003,0.211681753432302,0.185277602728655,0.0149234623015909,0.996805150789542,3.44915407073784,0.667859451028993,0.338505318685527,1.04664540832902,0.249201287697385,0.200187444790904,0.444979606833494,-0.46543667824469,-0.00243437602711664,0.995274671502169,1.00178807169913,0.993498225442115,0.540307523639382,0.0548064543389979,0.404886022021621,1.05212418221539,1.04928919297964,0.652016562330985,0.366316973430841,-0.0183335357618255,-0.00034989802880246,0.965571111871347,0.0197963100292335,0.996338949436146,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23607283224644,0.823567297075966,0.494429132898578,0.272293883659831,0.34291138772355,0.522818131323384,-1.34821348014166,2.73249999022489,6.49037792210422
110,-0.00324368030794503,0.752107050301259,0.101422836350724,-0.00483876619835077,-0.00471286649135116,-0.00106718296644481,0.0217130341686026,0.0123641114898763,0.0110751217979641,7.11780355314683,10.2686028016054,1.06630851653753,3.22640305938149,0.334025231799995,4.0156622705603,2.63639508171873,1.45286538724885,-0.0735981984072829,9.76577261285681,14.910724106601,1.34159387082393,0.212044588484583,0.184357904040609,0.0148583208936863,0.994572070186428,3.43620472411421,0.666363287024907,0.337358366995287,1.04430067369575,0.248643017546607,0.200470610493341,0.444858241349608,-0.464843127249663,-0.00234148174904023,0.995423151776736,1.00174010129052,0.993694023524025,0.539511128038131,0.0547187488484059,0.405770123113463,1.05210014248193,1.04926355580895,0.656528090292726,0.361799695624297,-0.0183277859170237,-0.000348646025304894,0.965571111871347,0.0197963100292335,0.996440206935611,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23512426786832,0.824558045664938,0.494049707147327,0.271539850716437,0.341712884979787,0.52257319207627,-1.34502706944527,2.69292941654794,6.49726269023886
111,-0.00328988461975876,0.754771917006694,0.101412784271995,-0.00481407598603267,-0.0047154327298552,-0.00118893912141205,0.0217490553762912,0.0123865135556243,0.0110957468133255,7.10936152140459,10.2118071100535,1.06006827188289,3.206464815493,0.331882822907154,4.00136959212089,2.64472115724477,1.42996242593648,-0.0733139910603571,9.76573641580738,14.8115248493846,1.33343253789926,0.212395569655392,0.183463192710724,0.0147954341695768,0.992401375230781,3.42360092458598,0.664908921404624,0.336245621457705,1.04202144399232,0.248100343807695,0.200741832497368,0.444736226595512,-0.464252776457414,-0.00225184479484774,0.995568999053168,1.00169366595714,0.993885688696931,0.538739490370285,0.054635071715726,0.406625437913989,1.05207661157222,1.0492384681442,0.660953979976916,0.357368244295176,-0.0183222242720912,-0.000346941775463947,0.965571111871347,0.0197963100292335,0.996541344503522,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23419376765498,0.825512579911002,0.49367750706199,0.2708046993433,0.340541571557389,0.52233714335481,-1.34188514370074,2.65427437842665,6.50407207874729
112,-0.00333460773584378,0.757358755985607,0.101404909341332,-0.00479472907342049,-0.00471744314560107,-0.00130629912302827,0.0217843615633048,0.0124084749296765,0.0111159670284124,7.10091777290151,10.1566587882702,1.05403057983087,3.18713661231996,0.329812427272331,3.98747495025482,2.65285018098868,1.40766300818333,-0.0730382389171885,9.76550155929341,14.7151697396525,1.32553942421851,0.212735239089659,0.182592846562348,0.0147346560324986,0.9902917077507,3.41133526015701,0.663495444192969,0.33516616715408,1.03980629313824,0.247572926937675,0.201001633686442,0.444613928509679,-0.463666603040427,-0.0021653288735514,0.995712214620604,1.00164871922548,0.994073266913911,0.53799200977178,0.0545550309772682,0.407452959250952,1.05205358394817,1.04921392352556,0.665295760877438,0.353021153919496,-0.018316914796934,-0.000344799152009231,0.965571111871347,0.0197963100292335,0.996642222977562,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23328122377585,0.82643221541206,0.493312489510339,0.270087941818568,0.339396948738709,0.522109937502344,-1.33879932993938,2.61651285263599,6.51081338534293
113,-0.00337789573304697,0.759869574401879,0.10139873999487,-0.00477956976818006,-0.0047190181317337,-0.00141943283099044,0.0218189574001682,0.0124299983066216,0.0111357848784417,7.09248660945158,10.1031146354059,1.04818539740961,3.1684003609413,0.327810464114975,3.97396865756533,2.66079021475147,1.38594931873446,-0.0727708759206017,9.76509041318654,14.6215803027462,1.31790084876637,0.213064109722185,0.181746243996642,0.0146758631623911,0.988241672219597,3.39940038040227,0.66212192038713,0.334119081132807,1.03765375583058,0.247060418054899,0.201250520738689,0.44449166405504,-0.463085478667523,-0.00208180412034784,0.995852799048272,1.00160521478829,0.99425680332422,0.537268051180524,0.0544783034292042,0.408253645390272,1.05203105390429,1.04918991533819,0.669554906957464,0.348756982791148,-0.0183118897486121,-0.000342239728979844,0.965571111871347,0.0197963100292335,0.996742708294214,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23238655068409,0.827318250319129,0.492954620273637,0.269389137300552,0.33827852521157,0.521891505753748,-1.33577720560203,2.57962355232021,6.51749284983818
114,-0.0034197941752846,0.762306388086188,0.101393906816672,-0.00476769208142924,-0.0047202520010261,-0.00152850516532843,0.0218528479813338,0.01245108665122,0.0111552030486684,7.08408123380749,10.0511317750183,1.04252390227503,3.15023831508145,0.325873760816622,3.96084114982474,2.66854876671534,1.36480413618407,-0.0725117530746664,9.76452368425739,14.530679302382,1.31050486009836,0.213382666195766,0.180922767701957,0.0146189500813765,0.986249850679989,3.38778898350753,0.660787399955593,0.33310344105322,1.03556234321399,0.246562462669997,0.201488982461204,0.444369708351734,-0.462510176896779,-0.00200114691117008,0.995990753443121,1.00156310685384,0.994436343179391,0.536566959148398,0.0544046202567979,0.409028420594804,1.0520090155453,1.04916643679052,0.673732842541936,0.344574317561864,-0.0183071601038001,-0.00033929011115765,0.965571111871347,0.0197963100292335,0.996842673118954,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23150967216533,0.828171956501024,0.492603868866133,0.268707878345128,0.337185815520779,0.521681759632907,-1.33282343911969,2.5435858710909,6.5241157639725
115,-0.00346034785935331,0.764671206682924,0.101390120408618,-0.00475838587592203,-0.00472121863666553,-0.00163367561211603,0.0218860388608414,0.0124717432196626,0.0111742244936733,7.07571376346932,10.0006677948014,1.03703824440922,3.13263310467473,0.32399947326421,3.94808298541404,2.67613283054307,1.34421082409595,-0.0722606692249856,9.76382047118818,14.4423909058285,1.30334087379146,0.213691365963373,0.180121807435576,0.0145638253430214,0.984314814511754,3.3764938106292,0.659490925722875,0.33211833170462,1.03353055523734,0.246078703627939,0.20171748878758,0.444248300543748,-0.461941380452498,-0.00192323962735594,0.996126080333311,1.00152235040135,0.994611932458745,0.53588806835122,0.054333755775672,0.409778175873108,1.05198746277651,1.04914348090518,0.677830947434571,0.340471775555961,-0.0183027229905319,-0.000335979935418701,0.965571111871347,0.0197963100292335,0.996941997905907,-0.477151069242531,1.05,0.67,0.1,1.025,0.5,0.25,0.4,0.005,0.975,0.8,0.1,1.23065051205926,0.828994573270829,0.492260204823703,0.268043781165269,0.336118339021358,0.521480592537813,-1.3299406270262,2.50837983430331,6.53068657168253
