Year,N_y_MM,N_m_MM,N_o_MM,psi_y_MM,psi_o_MM,n_m_MM,psi_y_MM_s,psi_o_MM_s,n_m_MM_s,gamma_MM_path,phi_MM_path
1964,56369.0955,361020.4205,70319.526,0.156138246756045,0.194779912733496,0.00851120646642722,0.157771803876905,0.195772665540416,0.00878718747880341,0.895188180161344,0.0341160298094694
1965,56365.98,364189.1275,72256.243,0.15477117723675,0.198403075610762,0.0087770852286182,0.159582973943788,0.198928310284291,0.00879641823999673,0.89735799641069,0.0347692894250563
1966,57304.2765,367270.229,74216.0875,0.156027556755764,0.202074880128659,0.00846016881709333,0.161689713754893,0.202121530553879,0.0088874327285183,0.899408796083209,0.0354603410537526
1967,59736.0105,370251.839,76148.9025,0.161338862384422,0.205667857601107,0.00811830027203198,0.164000861237319,0.205312589643605,0.00906817370203224,0.901311203069215,0.0361362785303868
1968,62290.076,373408.0945,77985.089,0.166815012629567,0.208846809023847,0.00852461802357163,0.166374543167394,0.208461150564368,0.00934207505947021,0.90305524177435,0.0367281376477941
1969,64735.723,376690.809,79735.1045,0.171853736415427,0.211672551054995,0.00879122479761896,0.168642169683489,0.211529839424479,0.00970407875587949,0.90464118198965,0.0371790520457451
1970,67328.886,379547.219,81645.9515,0.177392647421822,0.215114081760668,0.00758290335668876,0.170639042246748,0.214484717708386,0.0101404860804288,0.906064588921509,0.0374556693326375
1971,69060.5365,383309.764,83585.7865,0.180168999034421,0.218063285494601,0.00991324613025291,0.172234200267076,0.217294516713729,0.0106257692724676,0.907306777805423,0.0375530873425437
1972,69335.907,388709.0035,85590.541,0.178374841785727,0.220191815032141,0.0140858386795493,0.173360926902191,0.219933740358718,0.0111144414669758,0.908344048564192,0.0375003765632448
1973,69256.0735,394365.3435,87606.5925,0.175613995097417,0.222145769003153,0.0145516053116066,0.17402574893797,0.222383563460301,0.0115569143206842,0.909153961203995,0.0373482080862865
1974,69371.9305,399701.88,89629.974,0.173559179906784,0.224242062609263,0.0135319611318738,0.174284988959048,0.22462779260818,0.0119274509325778,0.909721143211748,0.0371431654627662
1975,69754.796,404614.4875,91677.809,0.172398167033008,0.226580638687585,0.0122906789930535,0.174212883843779,0.226648418174628,0.0122281842187722,0.910038399128697,0.0369151999134656
1976,70296.199,409375.3295,93677.4275,0.171715767742668,0.228830173069821,0.0117663656321747,0.173878401603747,0.228424318589259,0.0124771986552523,0.910107451228965,0.0366776098873912
1977,70910.1785,414115.632,95753.278,0.171232798331071,0.231223529374037,0.0115793555654409,0.173333427236805,0.229933949733761,0.0126945040652645,0.909941850662359,0.0364310878505116
1978,71649.2325,418853.1935,97902.182,0.171060489956608,0.233738654782395,0.0114401899709016,0.172608691058719,0.231160557419244,0.012893551373372,0.909570066464692,0.0361674882949308
1979,72526.7245,423762.094,99972.072,0.171149627413348,0.23591556067778,0.0117198593115184,0.171714530539148,0.232101094982751,0.0130766386616719,0.909048669378773,0.0358730265609918
1980,73339.0785,429348.043,101598.8875,0.170814982613068,0.236635263992574,0.0131818043168341,0.170646370123442,0.232778469355245,0.0132321155720932,0.908477493310056,0.0355327581835557
1981,74049.8675,435554.941,102569.152,0.170012690775559,0.235490732270214,0.0144565652532855,0.169393507655748,0.233252107256882,0.0133366637498337,0.908000266372334,0.0351355558100036
1982,74597.4065,441979.893,103221.278,0.16878009086264,0.2335429272571,0.0147511861195944,0.167946467798312,0.233617597477273,0.0133662272595058,0.907773935537412,0.0346764723297369
1983,75010.4225,448626.4935,103729.5005,0.16720016224365,0.231215726228616,0.0150382417962169,0.166301632061922,0.23399197093477,0.013306538471477,0.907917881137635,0.0341573568881738
1984,75325.8735,455008.3295,104658.7695,0.165548339703526,0.230015062834141,0.0142252766888809,0.164463550653593,0.234490850634301,0.0131574567599342,0.908476273834976,0.0335861670603658
1985,75420.488,460617.714,106504.8865,0.163737706361853,0.231221864168255,0.0123280918970516,0.16244605413866,0.235203503626509,0.0129346320581348,0.909399125074044,0.0329763935553646
1986,74995.2705,465946.8315,108804.1315,0.160952420812845,0.233511903385483,0.0115695018624491,0.160273965234988,0.236177680067482,0.0126627992200086,0.910566157851596,0.0323466389660253
1987,74318.9825,471392.059,111180.6915,0.157658537264413,0.235856097652252,0.0116863709159059,0.157983773080513,0.237422294890558,0.0123625657626625,0.911845029399608,0.0317176856766636
1988,73644.401,476914.0085,113624.165,0.154418615698935,0.238248747100915,0.0117141334788584,0.155618162501247,0.238918971878525,0.01204501744489,0.913127198785826,0.0311055675189061
1989,73067.811,482540.4185,116035.482,0.151423193164077,0.240467901861365,0.0117975356138025,0.153216750925075,0.240633171867352,0.0117142889131772,0.91433516830873,0.030517046210752
1990,72959.671,488234.0815,118476.087,0.149435841872911,0.24266246763439,0.0117993494051731,0.150807511031082,0.242522927466818,0.0113712884099524,0.915421277588852,0.0299489859933434
1991,73303.792,493675.2205,120981.049,0.148485864706268,0.245062024538054,0.0111445292456502,0.148402009021915,0.244544264948937,0.0110176483591788,0.916361063218671,0.0293910413482482
1992,73487.713,498919.0905,123458.7275,0.147293848640574,0.247452402304898,0.0106221049431832,0.145999695984547,0.246654743666956,0.0106582375005907,0.91714949255685,0.0288341882018332
1993,73170.691,504035.435,125853.24,0.145169735933348,0.249691254346036,0.0102548581471849,0.143600457191536,0.248816987346448,0.0102994388028512,0.917799752460472,0.0282797045248041
1994,72579.5705,508956.044,128464.742,0.142604791426743,0.25240832389054,0.00976242672303407,0.141215675802727,0.251001334630735,0.00994753047031542,0.91833833570578,0.0277400572874319
1995,71684.682,513844.632,130863.515,0.139506530837905,0.25467525950529,0.00960512810021741,0.138871819798247,0.253187723011443,0.00960811804921179,0.918801411482651,0.027233575994396
1996,70530.002,518710.157,132954.642,0.135971893066285,0.256317791748967,0.00946886412155812,0.136608421892698,0.255369540755511,0.00928548051069497,0.919241924059257,0.0267794408931817
1997,69540.421,523296.6785,135185.0955,0.132889093046288,0.258333563070762,0.00884216635842749,0.134470555930237,0.257554158261572,0.00898387379573039,0.919718113679894,0.0263918849197974
1998,68822.5855,527544.9145,137272.391,0.130458248403795,0.260209865031312,0.0081182170163534,0.132497415507294,0.259759147856336,0.00870854515346055,0.92027740388392,0.0260748304887665
1999,68382.374,531761.708,139371.984,0.128595897318729,0.262094810331849,0.00799324073476604,0.130713040099987,0.262009685549015,0.00846310248239582,0.920957365095394,0.0258213455483032
2000,68477.7455,535818.089,141696.7345,0.127800361551437,0.26444932974258,0.00762819311540186,0.129121510810562,0.264335437918333,0.00824614882964364,0.92177961579659,0.025615833925825
2001,68803.558,539794.1235,144201.633,0.127462591763469,0.267141909706247,0.00742049322638705,0.127706994789267,0.266767595294077,0.00805108904224097,0.922749393264223,0.025437966527183
2002,69063.224,544090.6865,146738.5865,0.126933295705292,0.269695089698985,0.00795963278025535,0.126440786892,0.269338888421004,0.00786531402712296,0.923865295882224,0.0252696875553287
2003,69247.027,548582.723,149212.517,0.126228960732327,0.271996384034865,0.0082560437284751,0.125291141145452,0.272085360082173,0.00767108671104882,0.925126527152989,0.025099630839705
2004,69245.6705,552983.13,151926.3465,0.12522203073356,0.274739568456636,0.00802141010919133,0.124230795501927,0.275045932090062,0.00745122833090252,0.926530416981699,0.0249235546085797
2005,69072.062,557179.401,154960.885,0.123967364687267,0.278116679693979,0.00758842498504442,0.123241301082739,0.27825901099361,0.00719361791582579,0.928065716371874,0.0247432155126363
2006,68719.079,561143.7405,158096.7735,0.122462524377032,0.281740242453974,0.00711501446910101,0.122313685144083,0.281760550880674,0.00689162353738429,0.929717738883829,0.0245635841493747
2007,68353.9375,565202.8355,161260.5245,0.120937003862572,0.285314429389482,0.00723361004861833,0.121445783576634,0.285584997426219,0.0065426078815997,0.931476983775476,0.0243894076021833
2008,68202.889,569058.328,164530.282,0.11985219378074,0.289127272028958,0.00682143163098137,0.120636800353261,0.289765964431401,0.00614726591220936,0.933337658733039,0.0242217599825236
2009,68249.624,572422.0115,167767.8085,0.119229559012163,0.29308413221283,0.00591096436778593,0.119881443005426,0.294334134261387,0.00571245684432866,0.935291022991515,0.0240568202924213
2010,68482.371,575835.2645,170709.164,0.118927018232312,0.296454862222145,0.00596282625655142,0.119167181539342,0.299313328440108,0.00525107722062446,0.937319235953471,0.0238877832074279
2011,68779.633,578542.887,174391.552,0.118884242716478,0.301432367277553,0.00470207829725577,0.118475370968203,0.304713063496859,0.00477969352458605,0.939381817771514,0.0237079017001696
2012,68882.451,580019.1285,179279.903,0.118758929861742,0.309093087091179,0.00255165439446503,0.117785339932356,0.310515979592009,0.00431986868488763,0.941401607651661,0.0235138603593062
2013,68728.97,581132.1015,184422.919,0.118267378144485,0.317351112636823,0.0019188556813261,0.117080405142205,0.316675416980886,0.00389086440770538,0.943293026254132,0.0233076771775277
2014,68383.6875,582465.295,189415.724,0.117403883264839,0.325196583600745,0.00229413156932634,0.11635312607662,0.323130748628302,0.0034965846869,0.945007369087589,0.023095640521768
2015,67820.8725,584337.864,194166.5685,0.116064483714511,0.332284762741303,0.00321490227155929,0.11560746329044,0.329826980032898,0.00312265287270674,0.946542278931869,0.0228859644064948
2016,67263.3275,586361.887,198713.0455,0.114712993786378,0.338891476246307,0.00346378888772469,0.11485722081019,0.336728303256033,0.00274343040997733,0.947927588858562,0.0226863529702138
2017,66859.466,588179.9345,203213.081,0.113671790005614,0.345494752677592,0.00310055537426157,0.114120806386062,0.343822580626401,0.0023330883444988,0.949206663031255,0.0225012836611544
2018,66640.513,589903.1705,207692.6705,0.11296856218541,0.352079257895767,0.00292977692526164,0.113415670017323,0.351119194079968,0.00187209595495316,0.950421936533564,0.0223313499255405
2019,66564.5865,591415.516,212250.2575,0.112551302255655,0.358885169154067,0.0025637182094107,0.112755242510681,0.358644043944975,0.00134908398057308,0.951608144792252,0.0221748227882202
