Year,b_1p0200,b_1p0203,b_1p0205,b_1p0208,b_1p0210,b_1p0212,b_1p0215,b_1p0217,b_1p0220,b_1p0223,b_1p0225,b_1p0228,b_1p0230,b_1p0232,b_1p0235,b_1p0237,b_1p0240,b_1p0243,b_1p0245,b_1p0248,b_1p0250,b_1p0252,b_1p0255,b_1p0257,b_1p0260,b_1p0263,b_1p0265,b_1p0268,b_1p0270,b_1p0272,b_1p0275,b_1p0277,b_1p0280,b_1p0283,b_1p0285,b_1p0288,b_1p0290,b_1p0292,b_1p0295,b_1p0297,b_1p0300
1997,1.03340380461167,1.0331443593078,1.03288530415295,1.0326266398391,1.03236836705111,1.03211048646655,1.03185299875571,1.03159590458144,1.03133920459911,1.03108289945648,1.03082698979369,1.0305714762431,1.03031635942927,1.03006163996884,1.02980731847047,1.02955339553476,1.02929987175416,1.02904674771291,1.02879402398696,1.02854170114389,1.02828977974283,1.02803826033441,1.02778714346066,1.02753642965495,1.02728611944195,1.02703621333751,1.02678671184862,1.02653761547333,1.02628892470072,1.02604064001079,1.0257927618744,1.02554529075326,1.0252982270998,1.02505157135716,1.02480532395909,1.02455948532993,1.02431405588453,1.02406903602821,1.02382442615667,1.02358022665599,1.02333643790254
1998,1.03268881660375,1.0324298589969,1.03217129006498,1.03191311049424,1.03165532096368,1.03139792214501,1.03114091470253,1.03088429929305,1.03062807656582,1.03037224716243,1.03011681171672,1.02986177085473,1.02960712519458,1.02935287534642,1.02909902191232,1.02884556548621,1.02859250665383,1.02833984599257,1.02808758407147,1.02783572145114,1.02758425868362,1.02733319631239,1.02708253487223,1.0268322748892,1.02658241688052,1.02633296135456,1.02608390881069,1.02583525973931,1.02558701462171,1.02533917393001,1.02509173812714,1.02484470766676,1.02459808299314,1.02435186454119,1.02410605273635,1.02386064799452,1.02361565072204,1.02337106131559,1.02312688016219,1.02288310763909,1.02263974411374
1999,1.03198219629288,1.03172369417305,1.03146557929932,1.03120785235198,1.03095051400397,1.03069356492087,1.03043700576078,1.03018083717423,1.02992505980411,1.02966967428556,1.02941468124591,1.0291600813046,1.02890587507306,1.02865206315468,1.02839864614467,1.02814562463004,1.02789299918948,1.02764077039329,1.02738893880334,1.02713750497291,1.0268864694467,1.02663583276072,1.02638559544219,1.02613575800954,1.02588632097224,1.02563728483084,1.02538865007679,1.02514041719245,1.02489258665102,1.0246451589164,1.02439813444322,1.02415151367672,1.02390529705269,1.02365948499742,1.02341407792764,1.02316907625046,1.02292448036331,1.02268029065387,1.02243650750003,1.02219313126983,1.02195016232141
2000,1.03127915176371,1.03102107193784,1.03076337793513,1.03050607042967,1.03024915008817,1.02999261756987,1.02973647352646,1.02948071860197,1.0292253534327,1.02897037864713,1.02871579486584,1.02846160270139,1.02820780275832,1.02795439563296,1.02770138191343,1.02744876217953,1.02719653700265,1.02694470694572,1.02669327256308,1.02644223440046,1.02619159299488,1.02594134887455,1.02569150255886,1.02544205455822,1.02519300537407,1.02494435549874,1.02469610541544,1.02444825559815,1.02420080651155,1.02395375861099,1.02370711234239,1.02346086814219,1.02321502643727,1.0229695876449,1.0227245521727,1.02247992041852,1.02223569277046,1.02199186960672,1.02174845129563,1.02150543819555,1.02126283065479
2001,1.0305741430016,1.03031645084001,1.03005914303891,1.02980222026601,1.02954568318155,1.02928953243821,1.02903376868102,1.02877839254727,1.02852340466643,1.02826880566004,1.02801459614164,1.02776077671671,1.02750734798251,1.02725431052808,1.02700166493412,1.02674941177289,1.02649755160816,1.02624608499512,1.02599501248028,1.02574433460143,1.02549405188752,1.02524416485864,1.02499467402586,1.02474557989125,1.02449688294774,1.02424858367907,1.02400068255971,1.02375318005482,1.02350607662013,1.02325937270192,1.02301306873692,1.02276716515226,1.0225216623654,1.02227656078407,1.02203186080619,1.02178756281983,1.02154366720316,1.02130017432435,1.02105708454154,1.02081439820278,1.02057211564596
2002,1.02986165980936,1.02960431895164,1.02934736090319,1.02909078632507,1.02883459587075,1.02857879018604,1.02832336990899,1.02806833566983,1.02781368809082,1.02755942778622,1.02730555536219,1.02705207141667,1.02679897653932,1.02654627131145,1.02629395630589,1.02604203208696,1.02579049921034,1.02553935822302,1.02528860966319,1.02503825406021,1.02478829193447,1.02453872379735,1.02428955015113,1.02404077148894,1.02379238829463,1.02354440104276,1.02329681019846,1.02304961621743,1.02280281954581,1.02255642062015,1.02231041986731,1.02206481770442,1.0218196145388,1.02157481076787,1.02133040677916,1.02108640295015,1.02084279964829,1.02059959723089,1.02035679604508,1.02011439642774,1.01987239870547
2003,1.02913636278832,1.02887933529466,1.0286226889184,1.02836642431347,1.02811054212612,1.02785504299484,1.02759992755022,1.02734519641489,1.02709085020345,1.02683688952231,1.02658331496968,1.02633012713544,1.02607732660103,1.02582491393943,1.025572889715,1.02532125448346,1.02507000879175,1.02481915317797,1.02456868817131,1.02431861429196,1.02406893205102,1.02381964195041,1.02357074448283,1.02332224013165,1.02307412937084,1.0228264126649,1.02257909046878,1.02233216322781,1.02208563137763,1.0218394953441,1.02159375554326,1.02134841238124,1.02110346625419,1.02085891754823,1.02061476663935,1.02037101389339,1.02012765966595,1.01988470430233,1.01964214813746,1.01939999149587,1.0191582346916
2004,1.02839291256578,1.02813615936114,1.02787978538399,1.02762379128049,1.02736817768898,1.02711294523986,1.02685809455555,1.02660362625034,1.02634954093033,1.02609583919333,1.02584252162875,1.02558958881754,1.02533704133209,1.02508487973612,1.0248331045846,1.0245817164237,1.02433071579065,1.02408010321367,1.02382987921192,1.02358004429535,1.02333059896469,1.02308154371131,1.02283287901718,1.02258460535474,1.02233672318689,1.02208923296685,1.02184213513811,1.02159543013437,1.02134911837942,1.0211032002871,1.02085767626123,1.02061254669551,1.0203678119735,1.02012347246847,1.01987952854342,1.01963598055095,1.01939282883322,1.01915007372188,1.01890771553802,1.01866575459206,1.01842419118375
2005,1.02762616070891,1.0273696417503,1.02711349986875,1.02685773570162,1.02660234987825,1.02634734301993,1.02609271573975,1.02583846864254,1.02558460232473,1.02533111737431,1.0250780143707,1.02482529388466,1.02457295647821,1.0243210027045,1.02406943310777,1.02381824822325,1.02356744857702,1.02331703468599,1.02306700705776,1.02281736619057,1.02256811257318,1.02231924668481,1.02207076899505,1.02182267996377,1.02157498004104,1.02132766966707,1.02108074927209,1.0208342192763,1.02058808008979,1.02034233211244,1.02009697573388,1.01985201133339,1.01960743927982,1.01936325993155,1.01911947363638,1.01887608073149,1.01863308154335,1.01839047638766,1.01814826556928,1.01790644938217,1.01766502810932
2006,1.02683188080789,1.02657555451154,1.02631960281722,1.02606402635196,1.0258088257346,1.0255540015757,1.02529955447746,1.02504548503356,1.02479179382913,1.02453848144059,1.02428554843559,1.02403299537292,1.02378082280236,1.02352903126465,1.02327762129134,1.02302659340474,1.0227759481178,1.02252568593401,1.02227580734733,1.02202631284211,1.02177720289295,1.02152847796467,1.02128013851217,1.02103218498037,1.02078461780415,1.02053743740819,1.02029064420697,1.02004423860462,1.01979822099489,1.01955259176102,1.01930735127571,1.01906249990098,1.01881803798816,1.01857396587777,1.01833028389943,1.01808699237185,1.01784409160267,1.01760158188847,1.01735946351463,1.0171177367553,1.01687640187332
2007,1.02600707999484,1.02575090226462,1.0254950962722,1.02523966263221,1.02498460195081,1.02472991482567,1.02447560184579,1.02422166359146,1.0239681006341,1.02371491353621,1.02346210285123,1.02320966912343,1.02295761288783,1.02270593467013,1.02245463498652,1.02220371434368,1.02195317323861,1.02170301215857,1.02145323158097,1.02120383197328,1.02095481379292,1.02070617748719,1.02045792349315,1.02021005223756,1.01996256413675,1.01971545959656,1.01946873901224,1.01922240276834,1.01897645123867,1.01873088478617,1.01848570376284,1.01824090850965,1.01799649935646,1.01775247662196,1.01750884061353,1.01726559162721,1.0170227299476,1.0167802558478,1.01653816958928,1.01629647142188,1.01605516158366
2008,1.02514963447145,1.02489355782498,1.02463784959376,1.02438251037708,1.02412754076552,1.02387294134079,1.0236187126757,1.02336485533396,1.02311136987012,1.02285825682945,1.02260551674785,1.02235315015171,1.02210115755779,1.02184953947318,1.02159829639511,1.02134742881092,1.02109693719791,1.02084682202321,1.02059708374377,1.02034772280616,1.02009873964651,1.01985013469041,1.01960190835282,1.01935406103792,1.01910659313909,1.01885950503873,1.01861279710821,1.01836646970778,1.01812052318645,1.01787495788189,1.01762977412037,1.01738497221664,1.01714055247383,1.01689651518341,1.01665286062502,1.01640958906644,1.0161667007635,1.01592419595997,1.01568207488745,1.01544033776536,1.01519898480078
