Time,n_MM,psi_o_MM,psi_y_MM,n_y_MM,n_m_MM,n_o_MM,mu_o_MM,mu_m_MM,mu_y_MM,s_o_MM,s_m_MM,s_y_MM,h_m_MM,h_y_MM,a_MM,a_o_MM,a_m_MM,a_y_MM,z_o_MM,z_m_MM,z_y_MM,c_o_MM,c_m_MM,c_y_MM,y_MM,k_MM,w_MM,inv_MM,b_MM,gov_MM,e_MM,t_MM,f_MM,nx_MM,tilde_R_MM,g_MM,q_MM,tilde_s_m_MM,tilde_s_y_MM,tilde_s_o_MM,Omega_m_MM,Omega_y_MM,eta_o_MM,eta_m_MM,eta_y_MM,walras_MM,gamma_MM,phi_MM,R_star,fy_target_MM,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_MM,w_indiv_MM,t_indiv_MM,e_indiv_MM,c_y_indiv_MM,c_m_indiv_MM,c_o_indiv_MM,a_y_indiv_MM,a_m_indiv_MM,a_o_indiv_MM
10,0.00928597473829198,0.244553329598292,0.173167025720249,0.00401010756946008,0.00983431150239222,0.010802717959024,0.121260145698584,0.0610135593938809,0.0547426704105351,0.449034907400335,0.974938060644232,0.133406350123861,2.60406948216771,0.355671284771294,2.56536478560165,0.72046408681087,1.97686328363277,-0.131962584841989,1.25738813373833,5.57699359404829,0.377796648461798,0.152471068263487,0.340272231801535,0.0206815984086323,0.985377489756705,1.97390278906172,0.660202918136992,0.225540766586853,0.591226493854023,0.246344372439176,0.064581928736364,0.341053453939037,0.000235502685910761,-0.000288899901900664,1.06720587255773,1.01433240461198,1.05212637169565,0.705357721816242,0.12214469875573,0.172497579428028,1.04692011084212,1.03631545237959,0.280842744418512,0.770597341455511,-0.0514400858740234,0.000356352158921873,0.908477493310056,0.0355327581835557,1.06725834332918,-1.84646280894838e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.935983115683515,0.483518423901067,0.374393246273406,0.169320474972003,0.482410869374705,0.883902653991174,-1.08037914200348,2.80263931688803,4.17666200998185
11,0.00891340424209582,0.244697220950451,0.172012114002334,0.0028998053403364,0.00963340514404987,0.0102274576400443,0.121646649053851,0.0610708597676267,0.0547652296769961,0.448745228858791,0.976516673865963,0.132837240156757,2.60430724070082,0.353587946031259,2.56927300701935,0.721771518035537,1.97915776781044,-0.131656278826625,1.25897039415277,5.58148187197906,0.375323591283055,0.153149529728044,0.340865898461626,0.0205546839216641,0.986535709685251,1.97723386878385,0.660978925489118,0.225176524688851,0.591921425811151,0.246633927421313,0.0646958824696012,0.341613216629324,0.000117712424350094,-0.000130129833693667,1.06708605970887,1.01395797126331,1.05239673630591,0.705861093258997,0.121416658843479,0.172722247897524,1.04716878792769,1.03650701410688,0.280924415606238,0.770318203806866,-0.0512426194131046,0.000285275297447113,0.908000266372334,0.0351355558100036,1.06711218639549,-2.23035740729405e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.936415013947496,0.483966632942012,0.374566005578998,0.169290475602377,0.482907900317654,0.886680966651772,-1.0843345557412,2.80389128500137,4.17879877561438
12,0.00854727950031337,0.244827784930045,0.170681345358392,0.0015931990072886,0.00940242280046677,0.00994101329536634,0.121741771457471,0.0610205820908161,0.0546964590829522,0.449519509071059,0.981309347350846,0.132641050465631,2.60788180786957,0.351732033223519,2.5737365759151,0.723114268515819,1.9819232452335,-0.13130093783422,1.26138618585292,5.59277434950557,0.373501349189068,0.153563388761734,0.341274347978241,0.0204292033341375,0.987763773805561,1.98085981149283,0.661801728449726,0.225208656692119,0.592658264283337,0.24694094345139,0.0648109804956887,0.342187329523134,0.000218500138937509,9.4588647854321e-05,1.06696851169585,1.01359001589781,1.05266280740814,0.706459590123753,0.12057947328366,0.172960936592586,1.04734723757889,1.03666458553033,0.280958927671319,0.770056758681049,-0.0510156863523685,0.000252644940085514,0.907773935537412,0.0346764723297369,1.06698309181215,-2.64928234171954e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.936786389061256,0.484369289209015,0.374714555624502,0.169425216231276,0.483076955496434,0.887850122617317,-1.08891616672879,2.80543044915891,4.18079528685216
13,0.00820418282506561,0.245044729157131,0.169156969585405,0.000123550798426075,0.0091362690716783,0.010030474310601,0.121401454951836,0.0608099118721336,0.0544919395811749,0.452068530593936,0.990807572887607,0.133021007940252,2.61647590564255,0.350339584764012,2.5793259534458,0.724823055013849,1.98540967713145,-0.130906778699499,1.26557966390805,5.61417012914444,0.372766592767788,0.153643212244141,0.341397191631934,0.0203127787630237,0.989084334151196,1.98530345023407,0.662686503881301,0.225834149254847,0.593450600490718,0.247271083537799,0.0649551339438719,0.342766285732202,0.000571902721014247,0.000341851009880949,1.06681301921036,1.01324520373919,1.0528675736865,0.707112713051588,0.119613043695121,0.173274243253291,1.04742063402375,1.0367693804473,0.281012585451494,0.769739735590509,-0.0507523210420031,0.000284067709570118,0.907917881137635,0.0341573568881738,1.06683823954132,-3.10282418389201e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.937172379522689,0.484740663554149,0.374868951809076,0.169820766494317,0.482804488351813,0.886705429263059,-1.09441892502262,2.80776973809917,4.18309750719447
14,0.0078905013200933,0.245449659834757,0.16743307528609,-0.00144969998762867,0.00883139391708099,0.0104984641754557,0.120563338329893,0.0604132114925987,0.0541295405043955,0.45687245425002,1.00591480306502,0.134087619677607,2.63105562606843,0.349537122412229,2.58659383290865,0.727234184438409,1.989840892832,-0.13048124436176,1.27234703493235,5.64769795611027,0.373352929095799,0.153398404271118,0.341195568810913,0.0202094313677231,0.990536698187163,1.99111437871785,0.663659587785399,0.22714926103078,0.594322018912298,0.247634174546791,0.0651580080272006,0.343350653119309,0.00115743527850148,0.000555243871273956,1.06657599606457,1.01292995382669,1.05296125564775,0.707772821581309,0.118504580121272,0.173722598297419,1.04737801040556,1.03681590793877,0.28115515274856,0.769290047824016,-0.050445200572576,0.000394614288563199,0.908476273834976,0.0335861670603658,1.06663738917815,-3.59053534276998e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.937673173579409,0.485114209884739,0.375069269431764,0.170537133223388,0.482069328472677,0.883007770862921,-1.10106499030022,2.81141184311979,4.18618067865506
15,0.00760037571209953,0.246122955126546,0.165518164834311,-0.00304731607528397,0.00848661505721804,0.0112530042638976,0.119270767411541,0.0598411332463924,0.053617160464522,0.464059175430455,1.02669356205539,0.135824979308051,2.65158245276071,0.349302058118109,2.59595385559659,0.730614054731608,1.99536632607034,-0.130026525205358,1.28215192506189,5.69355051271198,0.375218692934326,0.152923237419749,0.340708506549728,0.0201181807135239,0.992170982398788,1.99875270626654,0.664754558207188,0.229115113516273,0.595302589439273,0.248042745599697,0.0654445425199179,0.343954223482995,0.00189855989078567,0.000679880957194659,1.06622035895888,1.01263837759066,1.05291324381336,0.708395346281588,0.117252297693695,0.174352356024717,1.04723733958888,1.03681456381843,0.28144339038097,0.768644759518775,-0.0500881498997449,0.000583317642622899,0.909399125074044,0.0329763935553646,1.06634124707288,-4.11193450632175e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.938394869046681,0.485539925252803,0.375357947618672,0.171580268440281,0.480958137766049,0.87709303680456,-1.10894650052005,2.81674115526612,4.19044555169666
16,0.00732120742446616,0.247108754955601,0.1634367394834,-0.00457347990533019,0.00810363296686223,0.0121414050167625,0.117650485402354,0.0591348789528762,0.0529884512702458,0.473413348561204,1.0523918413212,0.138102196708414,2.67710284800449,0.349487849210965,2.6075975509878,0.735108649192151,2.00202785456982,-0.129538952774167,1.29505594287262,5.75015780504286,0.378085290818126,0.152363941215291,0.340034874793285,0.0200341976729141,0.994033229762574,2.00849145916207,0.666002263940925,0.23157285220341,0.596419937857545,0.248508307440644,0.0658299960960216,0.34460265029499,0.00268615396818586,0.000687510474835537,1.06572479837866,1.01235781346159,1.05271553615474,0.708945584486601,0.115867754799643,0.175186660713755,1.04703691804271,1.03678641376623,0.281910315849352,0.767767194312527,-0.0496775101618793,0.000831545962194703,0.910566157851596,0.0323466389660253,1.06592062699457,-4.66650711652216e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.939426492688047,0.486077715745338,0.375770597075219,0.172905720901875,0.479634660591799,0.869723417265455,-1.11798966846439,2.82395137000484,4.19614510715103
17,0.00704253828580259,0.248415235588586,0.161227664118734,-0.00593295132466154,0.00768734789667991,0.0130150587840052,0.115849983980882,0.0583458511451209,0.0522862660764473,0.484538806258313,1.08182701455991,0.140738281039774,2.70625694071835,0.349916375421442,2.62149272749792,0.740743606299284,2.0097603777014,-0.129011256502768,1.31082240070515,5.81503495554216,0.38159560953248,0.151858754123123,0.339283163919244,0.0199522095740319,0.996146961002999,2.02038471070424,0.667418463872009,0.234314113360846,0.597688176601799,0.24903674025075,0.0663187659755749,0.345325922515261,0.00341984019187918,0.000592993681657213,1.06508729295049,1.01207775097723,1.05237694625939,0.709399522536968,0.11437482794558,0.176225649517451,1.04681681819616,1.03675281480676,0.282565577439635,0.766647321436424,-0.0492128988760591,0.00110898609334689,0.911845029399608,0.0317176856766636,1.06536239533822,-5.2537058771593e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.940821698730745,0.486786234758518,0.376328679492298,0.174445810607253,0.478268103008998,0.86172900788818,-1.12796896677433,2.83304444653989,4.20338133709605
18,0.00675705892678518,0.250023157216418,0.158936121925602,-0.00707053166757488,0.00724553282374663,0.0137651485507266,0.113996866669599,0.0575212867890649,0.0515506314587587,0.496998457387771,1.11378591892136,0.143562160657726,2.7376539680115,0.350423174584792,2.63743252555958,0.747452141070506,2.01841628440537,-0.128435899916294,1.32905218172538,5.88554762869627,0.385417975331214,0.151507784355873,0.338544273059566,0.0198685400049892,0.998507525630779,2.03429986869269,0.669000042172622,0.237143618447069,0.599104515378467,0.249626881407695,0.0669062010887663,0.346147226471097,0.0040281414884239,0.00043075170423109,1.06432050695968,1.01179084422142,1.05191751144841,0.709743719924216,0.112803914405806,0.177452365669978,1.04660808204911,1.03672954455498,0.283401426890277,0.765295894717495,-0.0486973216077721,0.00138567665135587,0.913127198785826,0.0311055675189061,1.06466907778111,-5.8729512939498e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.942593817165519,0.487707346685726,0.377037526866208,0.176133426837594,0.476995094927666,0.853794108542028,-1.13857662291978,2.84386635308431,4.21212835483187
19,0.00645785486038207,0.251895295641479,0.156603043753883,-0.00799175265496266,0.00678722438512036,0.0143259062800944,0.112186866508785,0.0566983301697236,0.0508133229098925,0.510367950082762,1.14715437988257,0.146427088618049,2.77007436928656,0.350882018671019,2.65510848308665,0.755109502136207,2.02780621066116,-0.127807229710709,1.34926588393801,5.95926355722172,0.389282621110314,0.151369911603133,0.337880292732758,0.0197807435319552,1.00108936301438,2.04998077899408,0.670729873219632,0.239908884136708,0.600653617808625,0.250272340753594,0.0675814798840923,0.347078177878309,0.00447408628395014,0.000239036240407273,1.06344610567214,1.01149014413468,1.05136576153385,0.709975987922909,0.111184400700898,0.178839611376192,1.04643261450717,1.03672792508676,0.284398738110379,0.763737611317166,-0.048136349427545,0.00163815401582017,0.91433516830873,0.030517046210752,1.06385520643514,-6.52363224642969e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.944721912612714,0.488859037181966,0.377888765045085,0.177909341663569,0.475903831228509,0.846400360850279,-1.14950684542995,2.85616168033184,4.2222721036215
