cohort,age,year,pi_y,pi_m,pi_o,pi_alive,exp_c_uncond,exp_c_cond,exp_a_uncond,exp_a_cond,exp_ann_cond,exp_a_own_cond,npv
1973,0,1973,1,0,0,1,.20033021,.20033021,-1.0894341,-1.0894341,0,-1.0894341,38.483772
1973,1,1974,.80000001,.2,0,1,.25446522,.25446522,-.15272686,-.15272686,0,-.15272686,38.483772
1973,2,1975,.63999999,.35500002,.0049999999,1,.29957968,.29957968,.60679436,.60679436,0,.60679436,38.483772
1973,3,1976,.51199996,.47412503,.013425537,.99955052,.33727542,.33742708,1.2218812,1.2224306,.0024753672,1.2199552,38.483772
1973,4,1977,.40959996,.56467187,.024069585,.99834144,.36884755,.36946031,1.7187455,1.7216009,.0090094134,1.7125915,38.483772
1973,5,1978,.32767996,.63247508,.03600977,.9961648,.39531717,.39683911,2.1184649,2.126621,.02055675,2.1060643,38.483772
1973,6,1979,.26214397,.68219918,.048546512,.99288964,.41744947,.42043895,2.4381175,2.4555776,.037623927,2.4179537,38.483772
1973,7,1980,.20971517,.71757299,.061158393,.98844653,.43575922,.44085258,2.6917088,2.7231708,.060383227,2.6627874,38.483772
1973,8,1981,.16777214,.74157667,.073471159,.98281997,.45053342,.45840889,2.8909204,2.9414546,.088738881,2.8527157,38.483772
1973,9,1982,.13421771,.75659168,.08523462,.976044,.46191302,.47325021,3.0456526,3.120405,.12237386,2.9980311,38.483772
1973,10,1983,.10737417,.76452041,.096300825,.96819538,.47002399,.48546398,3.1643531,3.2683003,.16080506,3.1074953,38.483772
1973,11,1984,.085899338,.76688224,.10660002,.95938158,.47508976,.49520418,3.254169,3.3919444,.20345512,3.1884892,38.483772
1973,12,1985,.068719469,.76489007,.11611403,.9497236,.47749826,.50277603,3.320992,3.4967985,.24973443,3.2470641,38.483772
1973,13,1986,.054975577,.75951171,.12485176,.93933904,.47776932,.50862288,3.3695011,3.5870979,.29910788,3.2879901,38.483772
1973,14,1987,.043980461,.75151902,.13283324,.92833275,.47643316,.51321375,3.4032953,3.6660295,.35112351,3.3149059,38.483772
1973,15,1988,.035184368,.74152714,.14008163,.91679311,.47394037,.51695454,3.4250894,3.7359457,.40541112,3.3305345,38.483772
1973,16,1989,.028147494,.73002583,.14661974,.90479308,.47065085,.5201751,3.4368985,3.7985463,.46166861,3.3368778,38.483772
1973,17,1990,.022517996,.71740466,.15246947,.89239216,.46681735,.52310783,3.4402287,3.8550637,.5196448,3.3354189,38.483772
1973,18,1991,.018014397,.70397317,.1576522,.87963974,.46261245,.52591127,3.4362211,3.9063959,.5791235,3.3272724,38.483772
1973,19,1992,.014411518,.68997675,.16218996,.86657822,.45814005,.52867711,3.425772,3.9532173,.63990927,3.313308,38.483772
1973,20,1993,.011529215,.67560965,.16610733,.85324621,.45344433,.53143436,3.4096298,3.996068,.70181507,3.2942529,38.483772
1973,21,1994,.0092233717,.66102523,.16943297,.83968157,.44852668,.53416282,3.3884604,4.0354114,.76465273,3.2707586,38.483772
1973,22,1995,.0073786974,.64634424,.17220087,.8259238,.44335881,.53680354,3.3628886,4.0716691,.82822782,3.2434413,38.483772
1973,23,1996,.0059029581,.63166136,.17445287,.8120172,.43787125,.53923887,3.3335457,4.1052647,.89233249,3.2129321,38.483772
1973,24,1997,.0047223666,.61705041,.176239,.79801178,.43198526,.54132694,3.301085,4.1366367,.95674711,3.1798897,38.483772
1973,25,1998,.0037778933,.60256863,.17761503,.78396153,.42565209,.54295021,3.2661579,4.1662221,1.0212504,3.1449718,38.483772
1973,26,1999,.0030223145,.58825999,.17864008,.76992238,.41884929,.54401493,3.2293985,4.194447,1.0856295,3.1088176,38.483772
1973,27,2000,.0024178517,.57415795,.17937328,.75594908,.41159245,.54447114,3.1913979,4.2217102,1.1496915,3.0720186,38.483772
1973,28,2001,.0019342813,.56028759,.17987053,.74209243,.40393254,.5443157,3.1526802,4.2483659,1.2132711,3.0350947,38.483772
1973,29,2002,.0015474251,.54666728,.18018334,.72839803,.39593062,.54356354,3.1137023,4.2747264,1.2762326,2.9984937,38.483772
1973,30,2003,.00123794,.53331006,.18035907,.71490705,.38764054,.54222506,3.0748706,4.3010774,1.3384645,2.9626129,38.483772
