tag,region,beta,sigma,rstar_ini,rstar_fin,ky_ini,ky_fin,nfa_ini,nfa_fin,rstar_ext,rstar_extt,ky_ext,ky_extt,nfa_ext,nfa_extt,npv_1973,pk_1973,pka_1973,mn_1973,mna_1973,npv_1990,pk_1990,pka_1990,mn_1990,mna_1990,npv_2006,pk_2006,pka_2006,mn_2006,mna_2006,npv_2022,pk_2022,pka_2022,mn_2022,mna_2022,C_star,C_boomer,C_BGP,break_year,S_pct_boomer,S_pct_BGP,eff_boomer,eff_BGP
sigma_high_A,B,1.025,.7,2.14204094138899,-.9204745217953003,2.74616028343296,3.62563375957384,.936466808137572,-.424123340103714,-1.315617790169499,2059,3.91101765632629,2058,-.438007703526323,2084,38.2890243530273,.537738561630249,29,.192109167575836,0,35.9254379272461,.497215539216995,19,.202411636710167,0,34.3036651611328,.456151038408279,16,.231376051902771,0,33.1935424804688,.426348477602005,48,.272196978330612,0,32.69223496936018,38.28902435302734,44.73924774506242,2035,-17.11962880973304,-36.84976791391519,-14.6172159730799,-26.92716883473257
repl_A,B,1.0305,.5,3.791529798547999,-.2276534279509024,2.41771515416439,4.23556350021847,.906458014591859,.250697183076211,-.8483003919317,2060,4.23556327819824,2170,.0224524163091854,2037,38.6642189025879,.557641446590424,29,.191974028944969,0,35.3387908935547,.512217819690704,19,.203088149428368,0,32.9010276794434,.463542819023132,16,.232674241065979,0,31.1334705352783,.405348509550095,25,.270622342824936,0,30.78819956521941,38.66421890258789,46.71860006828992,2027,-25.58129256855189,-51.74190343092437,-20.37030505442673,-34.09862555766778
by_A,B,1.0305,.5,3.791529798547999,-.2276534279509024,2.41771515416439,3.36546227607013,.906458014591859,-.711512158029376,-.8483003919317,2060,3.80361747741699,2057,-.735986534957413,2081,39.4847946166992,.557641446590424,29,.191974028944969,0,36.9492645263672,.512217819690704,19,.203088149428368,0,35.2636909484863,.463542819023132,16,.232674241065979,0,34.1134071350098,.443565785884857,48,.270622342824936,0,33.88144946669719,39.48479461669922,46.71860006828992,2028,-16.53809166278322,-37.88843396769607,-14.19114675509092,-27.4776011756095
beta_high_A,B,1.035,.5,2.768882458234989,-1.546134068955196,2.61134760243296,3.89290976254572,.933258378096439,-.708384734222377,-1.886079549287301,2063,4.26704597473145,2060,-.7282632785276399,2082,37.5135688781738,.536621272563934,28,.20140728354454,0,34.7422409057617,.494226008653641,18,.212760776281357,0,33.0589752197266,.446346044540405,15,.243754297494888,0,32.0638847351074,.41716393828392,48,.284136861562729,0,31.72975073523452,37.51356887817383,45.52958658232667,2040,-18.2283765690827,-43.49178851693065,-15.41793627186576,-30.3096005981501
beta_low_RoW,MM,1.015,.5,4.841618356741995,1.594267535120997,2.25822477044031,2.84593069731736,-3.99680288865e-15,-.0008991111666959,.6596581511939981,2055,3.09074091911316,2055,.0065592305062335,2013,39.8741912841797,.553062081336975,28,.189302235841751,0,38.0807952880859,.511735141277313,18,.19957073032856,0,36.5625953674316,.472298443317413,37,.226440951228142,0,35.3935928344727,.454817444086075,80,.266745299100876,0,36.2601015789299,39.87419128417969,44.64806614941597,2010,-9.96712507325913,-23.13276617319452,-9.063731674186204,-18.78684855558025
base_M,MM,1.0225,.5,4.64081928912301,1.166180758036006,2.28919635880728,2.95134459483576,4.66293670343e-15,-.0153603149739134,.2255720259300098,2057,3.22893929481506,2055,.0876216018255721,2026,39.629638671875,.552590191364288,28,.189175516366959,0,37.7754096984863,.505163550376892,18,.195301413536072,0,36.2226867675781,.47056370973587,38,.220670789480209,0,35.11279296875,.458052039146423,80,.259267121553421,0,35.57082061626337,39.629638671875,44.7688642716228,2015,-11.4105268105476,-25.85839582893647,-10.24187499971369,-20.54562653086938
sigma_low_RoW,MM,1.025,.35,6.936158784905011,2.157963377427996,1.97894402339263,2.7137191835053,2.22044604925e-16,-.000948699996245,.8397483140919926,2057,3.03901028633118,2056,.005954448990565,2013,39.6256217956543,.551613628864288,28,.167906656861305,0,37.8729286193848,.510686039924622,18,.179726675152779,0,36.4565391540527,.469404429197311,38,.211433693766594,0,35.4264297485352,.460288643836975,80,.256855010986328,0,36.73686592555435,39.6256217956543,44.63033998655871,2002,-7.863370547319358,-21.4865199477479,-7.290121237710768,-17.68634086897305
base_RoW,MM,1.025,.5,3.771297244239991,.1064771112039953,2.43373660536123,3.26527900304905,4.99600361081e-15,-.0005680784616047,-.5535324709640022,2058,3.48836970329285,2058,.0069178253775584,2013,38.6726570129395,.5444711446762081,27,.200330212712288,0,36.6245002746582,.499916553497314,17,.210991904139519,0,35.0101852416992,.45095306634903,38,.238134548068047,0,33.9725761413574,.434461355209351,80,.280054837465286,0,33.96880080130349,38.67265701293945,44.40686658258766,2022,-13.84757806256327,-30.72839046055602,-12.16326100909515,-23.50552197118324
sigma_high_RoW,MM,1.025,.7,2.14204094138899,-.9204745217953003,2.7603028492821,3.63491182079366,-1.38777878078e-14,-.0004796270831918,-1.315617790169499,2059,3.79566645622253,2059,.0069635542761202,2013,37.4737930297852,.532952189445496,27,.197945162653923,0,35.2778778076172,.48564076423645,16,.208207204937935,0,33.5770835876465,.434433102607727,37,.234437823295593,0,32.5747909545898,.415436446666718,24,.280113101005554,0,31.95397189840263,37.47379302978516,43.57865049791585,2034,-17.27428788119942,-36.37944797054795,-14.72981698702138,-26.67516884229623
beta_high_RoW,MM,1.035,.5,2.768882458234989,-1.546134068955196,2.62479589081046,3.90388654184688,-6.88338275268e-15,-.0002470641996458,-1.886079549287301,2063,4.06263875961304,2062,.0075343473947261,2014,36.5935401916504,.531861245632172,27,.208488151431084,0,33.9539031982422,.483571738004684,16,.219078123569489,0,31.9850120544434,.412061452865601,14,.245244950056076,0,30.9487819671631,.393626004457474,24,.284508556127548,0,30.3794565335717,36.59354019165039,43.94969486893856,2037,-20.45488698692618,-44.66912708992346,-16.98136781938515,-30.87675210450123
