Time,n_RoW,psi_o_RoW,psi_y_RoW,n_y_RoW,n_m_RoW,n_o_RoW,mu_o_RoW,mu_m_RoW,mu_y_RoW,s_o_RoW,s_m_RoW,s_y_RoW,h_m_RoW,h_y_RoW,a_RoW,a_o_RoW,a_m_RoW,a_y_RoW,z_o_RoW,z_m_RoW,z_y_RoW,c_o_RoW,c_m_RoW,c_y_RoW,y_RoW,k_RoW,w_RoW,inv_RoW,b_RoW,gov_RoW,e_RoW,t_RoW,tilde_R_RoW,g_RoW,q_RoW,tilde_s_m_RoW,tilde_s_y_RoW,tilde_s_o_RoW,Omega_m_RoW,Omega_y_RoW,eta_o_RoW,eta_m_RoW,eta_y_RoW,walras_RoW,gamma_RoW,phi_RoW,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,w_indiv_RoW,t_indiv_RoW,e_indiv_RoW,c_y_indiv_RoW,c_m_indiv_RoW,c_o_indiv_RoW,a_y_indiv_RoW,a_m_indiv_RoW,a_o_indiv_RoW
12,0.00854727950031337,0.244827784930045,0.170681345358392,0.0015931990072886,0.00940242280046677,0.00994101329536634,0.0967440535662416,0.045658175728199,0.0391122180022946,0.604757301011733,1.91911465970572,0.293450483173748,2.88405936999007,0.440283307609937,3.34842303525645,0.92326309839794,2.56065740708606,-0.13549747022755,1.61226849397312,7.32460859780142,0.622587083255251,0.15597738942838,0.334428266488246,0.0243507626991168,1.09320362763081,2.69250085867797,0.732446430512642,0.305146302107364,0.655922176578485,0.273300906907702,0.0717292948649313,0.358795325043956,1.03600052682277,1.01359001589781,1.02211003519515,0.706459590123753,0.12057947328366,0.172960936592586,1.08724098112132,1.07254750711946,0.275730721202152,0.764735333664468,-0.0404660548666193,-6.80195924893165e-16,0.907773935537412,0.0346764723297369,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03678460983782,0.507878058504528,0.414713843935128,0.201947827735424,0.473386264640647,0.901807035167649,-1.12371920806782,3.62463393927104,5.33798623311523
13,0.00820418282506561,0.245044729157131,0.169156969585405,0.000123550798426075,0.0091362690716783,0.010030474310601,0.0964636277797652,0.0455153008764268,0.0389825426483259,0.608422668163286,1.93579481388242,0.293858852200253,2.89160807654761,0.43808079478341,3.35426366177062,0.925197376030873,2.56410310910511,-0.135036823365365,1.61779967889001,7.35221811249604,0.621115486780431,0.156058825419822,0.334638417349824,0.0242126631621333,1.09451828023296,2.69755269363084,0.733327247756086,0.305978804242943,0.656710968139779,0.273629570058241,0.0718791907239739,0.359400943367152,1.03592384942469,1.01324520373919,1.02238218903165,0.707112713051588,0.119613043695121,0.173274243253291,1.08729291198839,1.0726493714685,0.27582726622275,0.764430995221555,-0.0402582614443052,2.81635913863213e-16,0.907917881137635,0.0341573568881738,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03707263951085,0.508265424639497,0.414829055804339,0.202424939740254,0.473246218280636,0.900646411663718,-1.12894730535875,3.62615897264747,5.339497427084
14,0.0078905013200933,0.245449659834757,0.16743307528609,-0.00144969998762867,0.00883139391708099,0.0104984641754557,0.095691922922391,0.0451845688912425,0.0387008812962483,0.615794130295286,1.96575606839904,0.296119728906675,2.90714540540886,0.436826119680016,3.36212902478352,0.928008171523005,2.56868084545551,-0.134559992194998,1.6274402054493,7.401754145421,0.622476240718392,0.15573287968068,0.334445059901279,0.0240903843266997,1.09599298220272,2.70453323546189,0.734315298075825,0.307726412743383,0.657595789321634,0.273998245550681,0.0720949760496679,0.36004206433213,1.03580982523448,1.01292995382669,1.02258781204105,0.707772821581309,0.118504580121272,0.173722598297419,1.08712701478441,1.07262680703094,0.276018012594738,0.764004244545165,-0.0400222571399023,5.70021409766622e-16,0.908476273834976,0.0335861670603658,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03750140678645,0.508697216612137,0.415000562714581,0.203286525314437,0.472531650980976,0.896445719825469,-1.13548347293662,3.62924481857972,5.3418966825158
15,0.00760037571209953,0.246122955126546,0.165518164834311,-0.00304731607528397,0.00848661505721804,0.0112530042638976,0.0944814561170472,0.0446842271530458,0.0382816670723875,0.626970317469413,2.00857321631618,0.300092469027533,2.93017003737319,0.436394632259361,3.3725707158285,0.93204358921072,2.57459854576184,-0.134071419144061,1.64172227374802,7.47254362569192,0.626395145143641,0.155112299406542,0.333904804094219,0.0239794630008069,1.0976787049297,2.71396349287068,0.735444732302899,0.310262462195708,0.65860722295782,0.274419676232425,0.0724039323386565,0.360741754449387,1.03562858741737,1.01263837759066,1.02270327723645,0.708395346281588,0.117252297693695,0.174352356024717,1.08676982911434,1.07249389092835,0.27635998410614,0.763393494962549,-0.0397534790686885,-1.32277408427736e-15,0.909399125074044,0.0329763935553646,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03818402557738,0.509237894267577,0.415273610230951,0.204511668193061,0.471353751611874,0.889648427719282,-1.14344385381942,3.63440917458884,5.34574702895663
16,0.00732120742446616,0.247108754955601,0.1634367394834,-0.00457347990533019,0.00810363296686223,0.0121414050167625,0.0929674932495822,0.0440637877574266,0.0377644907719463,0.641480398817352,2.06180019722722,0.305322140769391,2.95890933624064,0.436469669283285,3.38583564113595,0.937493352263957,2.58190712086016,-0.133564831988167,1.6605267131348,7.56055052037492,0.632097861454678,0.154374971460385,0.333146415965721,0.0238708833901688,1.09961266142186,2.72606804428283,0.736740483152648,0.313317225250121,0.659767596853117,0.274903165355465,0.0728220094068956,0.361527933233839,1.03535793164635,1.01235781346159,1.02271935661376,0.708945584486601,0.115867754799643,0.175186660713755,1.08628545018437,1.07228659708467,0.276886846537845,0.762561267911626,-0.0394481144494715,7.75409535300371e-16,0.910566157851596,0.0323466389660253,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03920596908178,0.509951597336835,0.415682387632712,0.206018347653719,0.469918176028949,0.881202774408859,-1.15273513514718,3.64189745638927,5.35139689542782
17,0.00704253828580259,0.248415235588586,0.161227664118734,-0.00593295132466154,0.00768734789667991,0.0130150587840052,0.0913028555497339,0.0433805279815907,0.0371954648684413,0.658575826746604,2.12210547268646,0.311247654924205,2.99115505675488,0.436705390381196,3.40186152514594,0.944386660993693,2.59050165101787,-0.133026786865619,1.68329971962935,7.66028691994702,0.638682410539151,0.15368999001894,0.33230715348551,0.0237561520993684,1.10180166981975,2.74078052325409,0.738207118779231,0.316597956760993,0.661081001891849,0.275450417454937,0.0733527581298856,0.362424704781532,1.03498781010122,1.01207775097723,1.02263665919132,0.709399522536968,0.11437482794558,0.176225649517451,1.08574357964151,1.07204415647393,0.277608791034201,0.761495324335579,-0.0391041153697801,1.32591149431399e-16,0.911845029399608,0.0317176856766636,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.04060842350054,0.510889411773809,0.416243369400217,0.207704374520866,0.468434419432799,0.872120434453105,-1.16307748177696,3.65168225903742,5.35896257769317
18,0.00675705892678518,0.250023157216418,0.158936121925602,-0.00707053166757488,0.00724553282374663,0.0137651485507266,0.0896152781374345,0.0426832616335084,0.0366140737255665,0.677459099032211,2.18615972357171,0.317350359052198,3.02488387741017,0.436832628207453,3.42035840626154,0.952631396129015,2.60016878190985,-0.132441771777322,1.70927817147449,7.76631872639167,0.645370872177046,0.153177438748113,0.331491814120386,0.0236296566947168,1.10422252958002,2.75782488851353,0.739829094818612,0.319867987621797,0.662533517748011,0.276055632395005,0.0739897624348457,0.363443624198165,1.03452005290385,1.01179084422142,1.02246433520549,0.709743719924216,0.112803914405806,0.177452365669978,1.08520186024948,1.07179977280741,0.278518003956804,0.760203602391294,-0.0387216063480983,3.30512277411859e-17,0.913127198785826,0.0311055675189061,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.04238906812393,0.512077266759011,0.41695562724957,0.20947550285986,0.467058467464541,0.863203137190008,-1.17408843899574,3.66353193260729,5.36837811393678
19,0.00645785486038207,0.251895295641479,0.156603043753883,-0.00799175265496266,0.00678722438512036,0.0143259062800944,0.0879991107161438,0.0420091009042151,0.0360505660399969,0.697399303086016,2.25118761652147,0.323230281839462,3.05839387724413,0.436640666587526,3.44089447246668,0.96205597875533,2.61063538868205,-0.131796894970698,1.7376464710907,7.87399972030758,0.651563278456453,0.152911344188076,0.330779648753174,0.0234892250001619,1.10683507434629,2.77679342785891,0.741579499812015,0.322946087818306,0.664101044607775,0.276708768586573,0.0747201549387231,0.364582688918776,1.03396514596357,1.01149014413468,1.02221969433831,0.709975987922909,0.111184400700898,0.178839611376192,1.08470080184012,1.07157675382093,0.279594735163515,0.758708356088987,-0.0383030912525017,-2.9432680611096e-16,0.91433516830873,0.030517046210752,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.04451349401487,0.513514111914392,0.417805397605947,0.211263674149319,0.465902585974627,0.855019438990083,-1.18539016390663,3.67707560972543,5.37943451874109
20,0.00613703507120887,0.253984973707364,0.154256426477394,-0.00875859577537264,0.00632060875077656,0.0146688635206771,0.0865129074401053,0.0413813875213191,0.0355239355933504,0.717773665013052,2.31502269922929,0.328593277435208,3.09047223103635,0.43600207668208,3.46299625106629,0.97245324369866,2.62162615707159,-0.131083149703956,1.76762114545485,7.97973823894939,0.656845957918703,0.152922044532813,0.330212640354562,0.0233337535053719,1.10959390315891,2.79723990917095,0.743427915116469,0.325726988976434,0.665756341895345,0.277398475789727,0.0755278077896706,0.365832426374061,1.03333913270106,1.01116772024656,1.02192654295678,0.710105525848624,0.109538340839259,0.180356133312116,1.08426768118206,1.07139256437211,0.280812675843499,0.757039848444018,-0.0378525242875163,9.5410246732511e-16,0.915421277588852,0.0299489859933434,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.04692596812005,0.515180368349995,0.41877038724802,0.213019051836952,0.465019111011614,0.847889349391697,-1.19668737630701,3.69188249019548,5.39185014582107
21,0.00578594563961928,0.256242592037183,0.151907329407326,-0.00946634108268096,0.00585128529547863,0.0147920831135897,0.0851876764365321,0.0408128333758393,0.0350445259076932,0.738099760219179,2.37624469050088,0.333253015598054,3.12032569466667,0.434827242943886,3.48621362230349,0.983610193730361,2.63289885798531,-0.130295429412183,1.79852624259084,8.08111346987239,0.660947418047371,0.153212271596399,0.32981313749349,0.0231625889176154,1.11246001543258,2.81873761304394,0.74534821033983,0.328157013566933,0.667476009259549,0.278115003858146,0.0763959829551015,0.367179299565873,1.03266008120872,1.01081487536782,1.02161148037414,0.710151656987048,0.10787724168709,0.181971101325862,1.08391810123323,1.071258346236,0.282142834689336,0.755231647635644,-0.0373744823249807,-3.33438410337626e-16,0.916361063218671,0.0293910413482482,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.04956202383884,0.517043501839735,0.419824809535535,0.214712469056273,0.464426343652825,0.841959357722614,-1.20781202202147,3.70751632004336,5.405309890217
