Time,n_B,psi_o_B,psi_y_B,n_y_B,n_m_B,n_o_B,mu_o_B,mu_m_B,mu_y_B,s_o_B,s_m_B,s_y_B,h_m_B,h_y_B,a_B,a_o_B,a_m_B,a_y_B,z_o_B,z_m_B,z_y_B,c_o_B,c_m_B,c_y_B,y_B,k_B,w_B,inv_B,b_B,gov_B,e_B,t_B,f_B,nx_B,tilde_R_B,g_B,q_B,tilde_s_m_B,tilde_s_y_B,tilde_s_o_B,Omega_m_B,Omega_y_B,eta_o_B,eta_m_B,eta_y_B,walras_B,gamma_B,phi_B,R_star,fy_target_B,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_B,w_indiv_B,t_indiv_B,e_indiv_B,c_y_indiv_B,c_m_indiv_B,c_o_indiv_B,a_y_indiv_B,a_m_indiv_B,a_o_indiv_B
10,0.00466379151613906,0.278904964686779,0.151311927087309,0.00394251041625271,0.00530340768438897,0.00276711743483427,0.0834391754414342,0.0388955646307626,0.0330578779359557,0.781281934446345,2.29888472589537,0.31915934728619,2.99288349349795,0.415836514521532,4.49377403949232,1.42477694674466,3.18297641490536,-0.113979322157694,2.31561130580086,8.42664023781611,0.642247891613145,0.193212696335375,0.327758927077697,0.0212313519631162,1.11925290880446,2.9371048409643,0.749899448898988,0.318784178505505,0.671551745282676,0.279813227201115,0.0836602717255229,0.374036125338729,0.885117453245349,-0.0239498480554869,1.02613274624865,1.00968711047372,1.01628785353832,0.699194650651599,0.105796489999231,0.195008859349169,1.09004820669359,1.0768727481869,0.317055760768927,0.708308069507009,-0.025363830275936,0.00240237577713783,0.913356994268674,0.0309007651866073,1.02615525259628,0.799406766808929,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07251885894741,0.53495278459318,0.429007543578965,0.20068106194516,0.468766353936274,0.990789326086063,-1.07734502494858,4.55234663471617,7.30621650472585
11,0.00446482703941593,0.278083460868111,0.150998720723835,0.00318155423558464,0.00526238541746182,0.00230142382500209,0.0841959265980218,0.0391695132377687,0.0332716782943077,0.773465225783773,2.2810705013909,0.315863534120519,2.98369366422457,0.413505728698634,4.48366797920218,1.41877329199038,3.1787669102026,-0.113872222990806,2.30265176034071,8.39622770634674,0.636680467136776,0.193873896386641,0.328876149404794,0.0211834273084299,1.11988087713934,2.93661891420039,0.750320187683359,0.318067153742533,0.671928526283605,0.279970219284836,0.0834606538200797,0.374140668807243,0.87512053871818,-0.0246092249049284,1.02615266773542,1.00948715117461,1.01650889418594,0.699749820465913,0.105661327717086,0.194588851817,1.0905116577952,1.07718959618078,0.316431390260789,0.708965722854957,-0.0253971131157462,0.00251925591703685,0.912665156402958,0.0307437925199809,1.02606840470426,0.791653222945841,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07226921070701,0.534677763201326,0.428907684282806,0.20048420520656,0.469991045064962,0.996325815052182,-1.07770955988462,4.54271915080462,7.29113347831794
12,0.00430486952382943,0.277257401000013,0.150552546508121,0.00222955866683305,0.00519974414476709,0.00221375150260106,0.0845498397410691,0.039286468652723,0.033358125501427,0.769267334702074,2.27708362637417,0.31445521261426,2.98121680129558,0.411970890041501,4.47389018853562,1.41268328038614,3.17496805576512,-0.113761147615643,2.29252063594875,8.3861815094599,0.633807588133687,0.193832250972111,0.329463456243633,0.021142633093569,1.12054705116016,2.93684259400379,0.750766524277307,0.318307064933926,0.672328230696096,0.28013676279004,0.0832622301115758,0.374216094058699,0.864719363835732,-0.0250099562464932,1.02617553403062,1.00932639387145,1.01669345046506,0.700373324716806,0.105442987542474,0.19418368774072,1.09079227734671,1.07740398965174,0.315761724355018,0.709666067285965,-0.0254277916409832,0.00267483937337462,0.912312683952751,0.0305364046512376,1.02600023741751,0.783192169134699,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07195191161925,0.534309461614649,0.428780764647699,0.200512462576541,0.470411200165069,0.998190183878484,-1.07888775030979,4.533250973042,7.27498430389475
13,0.00419900513639078,0.276566987423434,0.149948122649143,0.00107528846463389,0.00511050930162416,0.00260762952607685,0.0843330053723047,0.0391818016944707,0.0332651143149214,0.770446221174237,2.29223515986405,0.315680613379284,2.9881441667226,0.411615091120957,4.46575074722415,1.4072979199465,3.17210477477437,-0.113651947496725,2.28754970560024,8.4048023414106,0.634759090908672,0.192915941454782,0.329315298985942,0.0211153339051563,1.12129560296329,2.93885609326862,0.751268053985405,0.319845040991674,0.672777361777975,0.280323900740823,0.0831103769752839,0.374270995049049,0.854117292177554,-0.0251174396228788,1.02616098734514,1.00922000016207,1.0167862182481,0.701009048512022,0.105114990784439,0.193875960703538,1.09081541248416,1.07747301884091,0.315131318254478,0.710318366229603,-0.0254496844840804,0.00289752650779323,0.912438711005489,0.0302723967182055,1.0259269118249,0.7740319554141,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.071695230725,0.533903229699367,0.428678092290001,0.200878426070148,0.469773249981515,0.995048281152173,-1.08121540656168,4.52505539194901,7.25875407574871
14,0.00415671724098151,0.276169753333195,0.149163100919193,-0.000271786414778319,0.00498962452982843,0.003546154566477,0.0834097076793948,0.038801798010035,0.0329490130063566,0.778748526541403,2.33176486644383,0.320256948410934,3.00687601304924,0.412768290806316,4.46067616401776,1.40350714243707,3.17071860158689,-0.113549580006195,2.29022566499194,8.46008686632783,0.640582210525606,0.191027053108321,0.328266582099108,0.0211065513145509,1.12218803255795,2.94385025093737,0.751865981813826,0.322933235076659,0.67331281953477,0.280547008139487,0.0830570570948579,0.374326784962589,0.843513093545626,-0.0248968972491408,1.02606495879425,1.00917750082719,1.01673388274434,0.701590507099142,0.104651415614377,0.193758077286481,1.09052327807631,1.07736322378081,0.314639998692432,0.710815689124892,-0.0254556878173235,0.00320450006896479,0.913152141047705,0.0299488706671709,1.02581885148494,0.764181621809059,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07165928587398,0.533540264833847,0.42866371434959,0.201684336429093,0.467889144418997,0.985904978948969,-1.08502669877497,4.51932939443098,7.24360585165137
15,0.00416482696632055,0.27620068884742,0.148184915491245,-0.00175689572548621,0.00483262018383868,0.00494517781710813,0.0818054333618408,0.0381524881905144,0.0324137991971413,0.794857846247247,2.39720601386412,0.328323523033151,3.03761335588859,0.415400098934471,4.45986222044323,1.40207744774302,3.17123786775533,-0.113453095055122,2.30211073827242,8.55421913750454,0.651384368733338,0.18832516775825,0.326364756127327,0.021113841820837,1.12331422314314,2.95282242582729,0.752620529505903,0.327472746159602,0.673988533885883,0.280828555785785,0.0831497234760962,0.374417673375084,0.833051260730056,-0.0243866226811601,1.02584537841835,1.00918565110115,1.01650808976427,0.702057081280525,0.104034269259584,0.19390864945989,1.08993665609235,1.07708680708491,0.314376852569829,0.711061846893032,-0.0254386994628617,0.00359577817249793,0.914421144325874,0.0295705561694335,1.02564691592423,0.7536508894096,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07202184775795,0.533315143965445,0.428808739103181,0.202950835057572,0.464869260391264,0.971205607809696,-1.09053580000678,4.51706556676433,7.23060808090997
16,0.00418438004034307,0.276728956637662,0.147014941999335,-0.00329498916303161,0.00463698309824889,0.00655847489926753,0.0797445455495699,0.0373158484549589,0.0317244878427056,0.817781796122295,2.48429281138129,0.33914124758321,3.07751041811375,0.418997634727492,4.46387828722477,1.40340743075706,3.17382222056605,-0.11335136409834,2.32302032765867,8.68054742958679,0.665913276265591,0.185248206855344,0.323922023935164,0.0211257580532291,1.1247751672774,2.96626221153058,0.753599362075858,0.332962348624067,0.67486510036644,0.28119379181935,0.0834171060760238,0.374599317666391,0.822750975327754,-0.0237294315073622,1.02547412726815,1.00920530194054,1.0161204318847,0.702373510402634,0.103259400893713,0.194367088703653,1.08917087221468,1.07671161658195,0.314391957043307,0.711001065917623,-0.0253930229609298,0.00405246949760855,0.916044580439683,0.0291487154075805,1.0253892037061,0.74245015077721,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07293249377224,0.533333492961107,0.429172997508895,0.204589198372111,0.461182005211837,0.953084228872656,-1.09773408636193,4.51871002188944,7.22039641647771
17,0.00416429612330541,0.277749669712286,0.145655881989933,-0.00488208096991594,0.00440298839986708,0.00810772271791094,0.0775205043272597,0.0364024835960672,0.0309695530392506,0.845528871648991,2.58553182171507,0.35148376530865,3.12225332004306,0.422813691966233,4.47261404092163,1.40749003523587,3.17834878218334,-0.113224776497587,2.35143941968457,8.8275668520551,0.682200113466824,0.182284772504051,0.32134537182467,0.0211274326895274,1.12664883635878,2.98411781326967,0.75485472036038,0.33877956579734,0.675989301815266,0.281662209089694,0.0838642597043423,0.374942276649337,0.812506925836688,-0.0230937329762911,1.02494652017661,1.00918511760392,1.01561794986643,0.702540466281111,0.102329151249794,0.195130382469094,1.08837339574635,1.07632625459905,0.314690698229258,0.710624425243083,-0.0253151234723411,0.00454321742978453,0.917766616735518,0.0286852495492388,1.02503547338133,0.730590459688638,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07446439968959,0.533694918150535,0.429785759875837,0.206465434643873,0.457404786269049,0.934169093492769,-1.10647625935249,4.52407930180576,7.21307475251219
18,0.00407014209244907,0.279214335524267,0.14410469703445,-0.00656247464363768,0.00413117639798655,0.0094262919829573,0.0753333575739668,0.0354900013363763,0.0302115976181448,0.876429095302501,2.69490504139088,0.3643449158863,3.16855064428999,0.426263292484438,4.48556311664167,1.41408172379731,3.18453234141526,-0.113050948570898,2.38575827521067,8.98600210117585,0.698665048246598,0.179727148718876,0.318913152661873,0.0211077884467588,1.12896328557106,3.00602347895531,0.756405401332612,0.344511898876177,0.677377971342637,0.282240821392766,0.0844796926080207,0.375506322750462,0.802161666343731,-0.0225744975070447,1.02427855757114,1.00909049280291,1.0150512415651,0.702583171534135,0.101245535075429,0.196171293390436,1.08764258386275,1.07599081118135,0.315251773046898,0.709951517072334,-0.0252032901192327,0.00503697298165637,0.919417184048115,0.028175313365731,1.02458686992679,0.71808352022715,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07660620404692,0.534465296016869,0.430642481618769,0.208481178266609,0.453915159916947,0.916174561591789,-1.11660181840783,4.53260549133511,7.20840291847849
19,0.00390231139502958,0.281067174549944,0.142367235457967,-0.00828206866835446,0.00382093940688999,0.0104821969953752,0.0732501748230784,0.034606835007359,0.0294742772977876,0.909750790317685,2.80979800553144,0.377252350665655,3.21506238780046,0.429104932141564,4.50211516523178,1.42288461798234,3.19204038009364,-0.112809832844195,2.42502277160209,9.15169426390384,0.714610075554026,0.177633228879902,0.316710949476094,0.0210626255910012,1.13169240942603,3.03151790578158,0.758233914315437,0.350020618762865,0.679015445655615,0.282923102356506,0.0852458655778337,0.376316455317651,0.791581813794586,-0.0221673583604825,1.02349605153604,1.008921822952,1.01444534973125,0.702526223174865,0.100016716230132,0.197457060595003,1.08700396577725,1.07571939578065,0.316048028872263,0.70900904477071,-0.025057073642973,0.00550924272013885,0.920945246992222,0.0276274544106182,1.02405327110552,0.704941675232014,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07929624447158,0.53566179155135,0.431718497788633,0.210591053024951,0.450817263510549,0.899604341038175,-1.1279097844467,4.54366011516001,7.20604577873652
20,0.00367745148563175,0.283257018666683,0.140466773063393,-0.00992193523788587,0.00347344709159336,0.0112916863717094,0.0712867435340162,0.0337620164044595,0.0287657659215703,0.945108907541147,2.92868571314603,0.38994232851729,3.26125746548137,0.43128384763054,4.52166127823939,1.43360520061316,3.20054142076646,-0.112485343140232,2.46854415319395,9.32228392978037,0.7297321368388,0.175974473936326,0.314739102924356,0.0209913038312012,1.1347801289962,3.06011515739746,0.760302686427452,0.355269940029214,0.680868077397718,0.283695032249049,0.0861444288966841,0.377362913889598,0.78067804344421,-0.0218342109039449,1.02262426624086,1.00869583874306,1.01380835229295,0.70238342985392,0.0986615338447784,0.198955036301301,1.08645532114905,1.07550841261467,0.317052762778017,0.707824231807867,-0.0248769945858834,0.00594448692999533,0.922344978026877,0.0270608886013825,1.02344977881509,0.691177894117606,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.08246102358306,0.53726055862121,0.432984409433222,0.212760769199334,0.448101549021187,0.884493688663539,-1.14011346425247,4.5566869671628,7.20567434363453
21,0.00340759178920511,0.285729849801815,0.138439949214034,-0.0113804849290429,0.00309335461267857,0.011850350257149,0.0694843485287971,0.0329753754705363,0.0281032181918537,0.981725764365927,3.04864187901762,0.402004144515336,3.30602624613313,0.432687927279062,4.54350947574459,1.44590730689693,3.20966906465355,-0.112066895805894,2.51524786024109,9.49343655974975,0.743520494674492,0.174770358922085,0.313049634970599,0.0208953186859892,1.13816372619918,3.09124342998004,0.762569696553452,0.360148253987022,0.682898235719509,0.284540931549796,0.0871555699438534,0.378619431528302,0.769367810045037,-0.0215757748937988,1.02168492951937,1.00842462974815,1.01314951993441,0.702163464420489,0.0972074743543225,0.200629061225188,1.08600294213292,1.07535780032819,0.318235785489966,0.70642948623423,-0.0246652717241958,0.00633500297749079,0.92359128392341,0.0264947746187994,1.02279369436672,0.676805760074164,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.08602873147611,0.539218359703157,0.434411492590443,0.214955885077577,0.445835835718062,0.871111881074499,-1.15286295164309,4.57111374671503,7.2068687261315
22,0.00308947799684828,0.288417572762292,0.136322480718994,-0.0126483364192349,0.00268798984280672,0.0121197924156382,0.0679218030647851,0.0322809217389598,0.0275149133784107,1.01802152242529,3.16390357766854,0.41265795861535,3.34742990342225,0.433107095256785,4.56684544192624,1.4593702854047,3.21902220654119,-0.11154705001964,2.5632361475901,9.65716216782054,0.754991530403233,0.174099620764137,0.311742096002808,0.0207735265507379,1.14178462449801,3.12423147141808,0.76499569841367,0.364479964485924,0.685070774698809,0.285446156124504,0.0882552810040261,0.380060082599427,0.757543195809358,-0.0214360297500595,1.02069879166702,1.00810492538683,1.0124926145712,0.701882422380522,0.0956823529919695,0.202435224627508,1.08567934160618,1.07528690273081,0.319557625489808,0.704867779623949,-0.0244254051137562,0.0066792903199636,0.924624558657806,0.0259369547912859,1.02210219304398,0.661839456662821,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.08992001227085,0.541486822408809,0.435968004908339,0.217109277741962,0.444151450531409,0.860026317477552,-1.16580588302424,4.58626987070494,7.2090728680743
23,0.00271818047439548,0.291248595479452,0.134136379816311,-0.0138080643626651,0.00226449614379876,0.0121024319186893,0.0666315792659663,0.0316937275861959,0.0270135419695758,1.05281476888418,3.27063139952584,0.421423212088258,3.38430282451074,0.432435842699968,4.59086979036451,1.47356223900844,3.22823043370449,-0.110922882348423,2.610929233442,9.80814228738014,0.763562705622709,0.173970338094054,0.310856589577237,0.0206265331829062,1.14558380315943,3.15842971249358,0.767541148116815,0.368194846290278,0.687350281895655,0.286395950789856,0.0894181125446833,0.381662188178655,0.745089795975277,-0.0214408396403983,1.01968743104907,1.00773177137677,1.01186393047424,0.701564852535718,0.0941053695255052,0.204329777938776,1.08549778703425,1.07530466673639,0.32097670077601,0.703184925974975,-0.0241616267509854,0.00698038486549239,0.925422553988351,0.0253821465559528,1.02139067707975,0.646293753818139,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09404162044697,0.544015548668359,0.437616648178787,0.219185507552955,0.443090312255075,0.851419405673614,-1.17870938616696,4.6014711569949,7.21168619607646
