Time,n_B,psi_o_B,psi_y_B,n_y_B,n_m_B,n_o_B,mu_o_B,mu_m_B,mu_y_B,s_o_B,s_m_B,s_y_B,h_m_B,h_y_B,a_B,a_o_B,a_m_B,a_y_B,z_o_B,z_m_B,z_y_B,c_o_B,c_m_B,c_y_B,y_B,k_B,w_B,inv_B,b_B,gov_B,e_B,t_B,f_B,nx_B,tilde_R_B,g_B,q_B,tilde_s_m_B,tilde_s_y_B,tilde_s_o_B,Omega_m_B,Omega_y_B,eta_o_B,eta_m_B,eta_y_B,walras_B,gamma_B,phi_B,R_star,fy_target_B,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_B,w_indiv_B,t_indiv_B,e_indiv_B,c_y_indiv_B,c_m_indiv_B,c_o_indiv_B,a_y_indiv_B,a_m_indiv_B,a_o_indiv_B
10,0.00466379151613906,0.278904964686779,0.151311927087309,0.00394251041625271,0.00530340768438897,0.00276711743483427,0.092314644678133,0.0446367055379381,0.0385448504608087,0.696019361161955,1.86961830432387,0.249918141932198,2.78575113510729,0.372680415833833,4.10267019604232,1.29728492867336,2.91988384473066,-0.114498577361706,2.10727220843739,7.55728637284546,0.528469768407263,0.19453208439879,0.337332365243982,0.0203697880029373,1.07783150895356,2.61942789429731,0.722147110998888,0.283849330346797,0.646698905372138,0.269457877238391,0.0805641657967217,0.366847834438549,0.836543396372873,-0.0292670641871757,1.03646063890108,1.00968711047372,1.02651665862586,0.699194650651599,0.105796489999231,0.195008859349169,1.08192935466529,1.06821405489244,0.3162050242248,0.711703282275619,-0.0279083065004182,0.00155712790984309,0.913356994268674,0.0309007651866073,1.03615812372771,0.785939862870174,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03282699649647,0.524671969524757,0.413130798598587,0.192537465118978,0.482458446914049,0.997555111332014,-1.08225308195515,4.17606719675206,6.65244098654275
11,0.00446482703941593,0.278083460868111,0.150998720723835,0.00318155423558464,0.00526238541746182,0.00230142382500209,0.0930693705713223,0.0449078322897027,0.0387569767191027,0.689400132259524,1.85657930179456,0.247536081705193,2.77714126576216,0.370589687182698,4.09474694096191,1.29224267538905,2.91686811354066,-0.114363847967808,2.09638530105935,7.53334838164344,0.524073422179056,0.195109259372412,0.338306344427057,0.0203115012589722,1.07836687395224,2.61845287213268,0.722505805547999,0.283123391094246,0.647020124371342,0.269591718488059,0.080366765961636,0.366959161667003,0.829273944457883,-0.0296763522084756,1.0365263676002,1.00948715117461,1.02678510211262,0.699749820465913,0.105661327717086,0.194588851817,1.08237653274911,1.06851861258387,0.315585479180251,0.712343926359005,-0.0279294055392557,0.00160101151996671,0.912665156402958,0.0307437925199809,1.03607036987067,0.780685204185059,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03252017280538,0.524414799310233,0.413008069122153,0.192232122175838,0.483467568740215,1.00267439552961,-1.08236239728146,4.16844424711467,6.64088750882982
12,0.00430486952382943,0.277257401000013,0.150552546508121,0.00222955866683305,0.00519974414476709,0.00221375150260106,0.0934295912534698,0.0450264938332602,0.0388450946345506,0.685681840422578,1.85348967373717,0.24644641374095,2.77453331864624,0.369162835559811,4.08723347701474,1.28716297667456,2.91429689332451,-0.114226392984328,2.08773038769021,7.52531672700962,0.52164625445723,0.195055796071153,0.338838626878389,0.020263398140797,1.07893470580754,2.61803531130483,0.722886252891052,0.283203289444958,0.647360823484524,0.269733676451885,0.0801702254780845,0.367044467314368,0.82183734222538,-0.0298420215045926,1.03659649103079,1.00932639387145,1.02701811557185,0.700373324716806,0.105442987542474,0.19418368774072,1.08263974097793,1.06871622356378,0.314922791661462,0.71302432552468,-0.0279471171861424,0.001681940324951,0.912312683952751,0.0305364046512376,1.03600052682277,0.774951058524827,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03214418279472,0.524069741609279,0.41285767311789,0.192173975842961,0.483797162056961,1.00449115134531,-1.08330004343168,4.16106209428078,6.62858446891389
13,0.00419900513639078,0.276566987423434,0.149948122649143,0.00107528846463389,0.00511050930162416,0.00260762952607685,0.0932297604122861,0.044929183835331,0.0387577741324989,0.686319553445585,1.86421670076142,0.247171209594069,2.78034464676778,0.36872704031041,4.08125008885437,1.28275164535531,2.91259430842542,-0.114095864926354,2.08327680755978,7.53970586593211,0.522035311760761,0.194223397559996,0.338752831013232,0.0202329267826367,1.07957150487008,2.61908249053193,0.723312908262953,0.284376698141811,0.647742902922048,0.26989287621752,0.0800177888011072,0.36711028722722,0.814424695400389,-0.0297329640707408,1.03662945142085,1.00922000016207,1.02715904486076,0.701009048512022,0.105114990784439,0.193875960703538,1.08264455970738,1.06876295007612,0.314303612236374,0.713652494947878,-0.0279561071842519,0.00182573922562537,0.912438711005489,0.0302723967182055,1.03592384942469,0.768743084798953,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03181679294764,0.523688371792713,0.412726717179057,0.192483742153663,0.483236032020238,1.00179205743299,-1.08543856661066,4.15485979048024,6.61635223212023
14,0.00415671724098151,0.276169753333195,0.149163100919193,-0.000271786414778319,0.00498962452982843,0.003546154566477,0.0923361119378712,0.0445630235838661,0.0384518311276664,0.692744140505858,1.89250724550622,0.250202008005707,2.79672142314049,0.369562504755815,4.07800855248757,1.27980163619528,2.91218808495893,-0.113981168666645,2.0851186007637,7.58267840892505,0.52600936729957,0.192531744462457,0.337907077285735,0.0202260232046922,1.08032895346318,2.62258931525426,0.723820398820332,0.286851311239452,0.648197372077909,0.270082238365795,0.0799589203998982,0.367174976854004,0.807221865155404,-0.0293170601606347,1.03657989101137,1.00917750082719,1.02715319174448,0.701590507099142,0.104651415614377,0.193758077286481,1.08233314984007,1.06862426631627,0.313830052028103,0.714120151395263,-0.027950203423366,0.00204761906568336,0.913152141047705,0.0299488706671709,1.03580982523448,0.762067409528008,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03168499501669,0.523346557769372,0.412673998006674,0.193270421484041,0.48163005893976,0.993670804122346,-1.08915075823385,4.15083735525431,6.60515243606093
15,0.00416482696632055,0.27620068884742,0.148184915491245,-0.00175689572548621,0.00483262018383868,0.00494517781710813,0.090773560546283,0.0439334165001071,0.0379306227868274,0.70549725941928,1.93933447241887,0.255613101159139,2.82382381930372,0.371639395842108,4.07851321545678,1.27899348720468,2.91340412465034,-0.113884396398234,2.0945850668445,7.6557122865193,0.533608191426968,0.190132945075286,0.336341604098546,0.0202400908239545,1.08128472280483,2.62938132704151,0.724460764279238,0.290534771748728,0.648770833682899,0.270321180701208,0.0800386248547416,0.367269030327058,0.800361054732375,-0.0286325844418,1.03640463870195,1.00918565110115,1.02697123920767,0.702057081280525,0.104034269259584,0.19390864945989,1.08172564443345,1.06831194114257,0.313593071712842,0.714329945869358,-0.0279230175822,0.00234671479890956,0.914421144325874,0.0295705561694335,1.03562858741737,0.754930620797518,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03191148354753,0.523132719717281,0.412764593419014,0.19455215063271,0.479080139018144,0.980528437513638,-1.09468156222708,4.14981089477283,6.59585578450039
16,0.00418438004034307,0.276728956637662,0.147014941999335,-0.00329498916303161,0.00463698309824889,0.00655847489926753,0.0887625681840084,0.0431198602259175,0.0372572172740903,0.723742550258279,2.00144482609351,0.262861611101361,2.85907460842586,0.374515405796466,4.0832238130961,1.28067665557683,2.91634248424119,-0.11379532672191,2.11156306634936,7.75333422828094,0.543843796683869,0.18742776389572,0.334322705431088,0.0202621065079527,1.08252785433809,2.63985303667442,0.725293662406523,0.294994968859026,0.649516712602857,0.270631963584524,0.0802839033814662,0.367443266495809,0.793854063818827,-0.0278163017533544,1.03607501199587,1.00920530194054,1.02662462236738,0.702373510402634,0.103259400893713,0.194367088703653,1.08093635551235,1.06789453451346,0.313643511647271,0.714225479098381,-0.0278689907456515,0.00270464781313889,0.916044580439683,0.0291487154075805,1.03535793164635,0.747339761756327,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03263242657137,0.523145108768657,0.413052970628548,0.196225296027128,0.475989912033326,0.964297840471784,-1.1020335750257,4.15212481827425,6.58895836799536
17,0.00416429612330541,0.277749669712286,0.145655881989933,-0.00488208096991594,0.00440298839986708,0.00810772271791094,0.0865913427675807,0.0422297505767343,0.0365176187480401,0.745839919596701,2.07334288765388,0.271079134730808,2.89859465368412,0.377550823689303,4.0920178653608,1.28483726395728,2.92087349097802,-0.113692889574498,2.13483635582714,7.86640423067815,0.55521209237094,0.184858345852438,0.332196289668515,0.0202750235253276,1.08412845148499,2.65394443162753,0.726366062494944,0.299700704125951,0.650477070890994,0.271032112871248,0.0806991735792738,0.367762971188565,0.787596362842273,-0.0270257615163087,1.03558646587869,1.00918511760392,1.02616105589968,0.702540466281111,0.102329151249794,0.195130382469094,1.0801119091741,1.06746202464987,0.313986230375261,0.713797834479598,-0.0277840648548584,0.00309173695782079,0.917766616735518,0.0286852495492388,1.03498781010122,0.739302323665853,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03391348592338,0.523475854900308,0.413565394369354,0.198135362970368,0.472850042969043,0.947358087004809,-1.11105084119152,4.15758754287796,6.58450646024217
18,0.00407014209244907,0.279214335524267,0.14410469703445,-0.00656247464363768,0.00413117639798655,0.0094262919829573,0.0844561818724043,0.0413384619773556,0.0357727278811335,0.770423037985931,2.15069333669273,0.27956563498987,2.93943556385677,0.38024669948914,4.10444042654607,1.29125121597237,2.9267410914817,-0.113551880908,2.16308710738243,7.98765594761024,0.566526660085406,0.182686053254382,0.330197355115335,0.0202662065143967,1.08611260146243,2.67133350588215,0.727695442979828,0.304301009291878,0.651667560877458,0.271528150365608,0.0812731998302599,0.368284043443539,0.781439359786469,-0.0263448606450354,1.0349557406944,1.00909049280291,1.02563223821448,0.702583171534135,0.101245535075429,0.196171293390436,1.07935043026141,1.06707576919492,0.31459860137109,0.713067016635714,-0.027665618006804,0.00347868756586705,0.919417184048115,0.028175313365731,1.03452005290385,0.730826238507118,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03574277389944,0.524185688420871,0.414297109559775,0.200168891391587,0.469976180036206,0.931257831342252,-1.12154951646413,4.16568629887758,6.58226386570447
19,0.00390231139502958,0.281067174549944,0.142367235457967,-0.00828206866835446,0.00382093940688999,0.0104821969953752,0.082422800093428,0.0404738163210113,0.0350458155124418,0.796883538408197,2.23159387991689,0.287992170456948,2.98039292516438,0.382397110981613,4.11995158255203,1.29964702849169,2.93365382723253,-0.113349273172198,2.19550070557629,8.11380090358935,0.577270951427993,0.180959238856286,0.328396341953285,0.0202309431616301,1.08845680315758,2.69161898925529,0.72926605811558,0.308679002627305,0.653074081894549,0.272114200789395,0.0819891001798885,0.369029987437844,0.775258511402189,-0.0257666187480233,1.03420914805514,1.008921822952,1.02506371111009,0.702526223174865,0.100016716230132,0.197457060595003,1.07867792290065,1.06675089549498,0.31545201622629,0.712060266414487,-0.0275122826407765,0.00384369451770174,0.920945246992222,0.0276274544106182,1.03396514596357,0.721919871152846,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03806240117255,0.525289982443814,0.415224960469018,0.202275618758369,0.467450653257031,0.916448560061601,-1.13330328613658,4.17586380473419,6.58192229022062
